private_cofinancing,project_name,lat,description,beneficiary_name,public_cofinancing,long,fund,eu_amount,address,duration
180000,Mijn Bedrijf 2.0,52.0951412,"Het project heeft tot doel de groei en de continuïteit van het MKB in de provincie Utrecht te bevorderen door de ontwikkeling, overdracht en toepassing van kennis en de versterking en borging van de kennisinfrastructuur. 'Mens + Kennis = Bedrijvigheid' richt zich op de sectoren bouw &amp, installatie, zakelijke dienstverlening, creatieve industrie, maakindustrie, logistiek, handel en gezondheid. In het project worden eerst de thema's die spelen binnen de Sociale Innovatie* geïnventariseerd. Daarna vindt met behulp van een basisscan een onderzoek plaats naar de kennisinfrastuctuur van de MKB-ondernemingen. Het resultaat is een aantal knelpunten. Voor het oplossen van deze knelpunten kunnen ondernemers subsidie krijgen voor ondersteuning in de vorm van masterclasses en workshops. Ook bedrijven die een samenwerkingsverband willen opzetten kunnen een beroep doen op deze susidie. * Sociale innovatie wil zeggen de innovatie binnen bedrijven op het terrein van arbeid, organisatie en management. Anders gezegd: sociale innovatie is de 'zachte' kant van innoveren (tegenover de 'harde' technologische innovatie). Dit project versterkt de economische positie van de regio als centrum van innovatieve en attractieve MKB-bedrijven en verbetert het ondernemersvertrouwen in de regio. Samenwerking tussen : Taskforce Innovatie Regio Utrecht (TFI), Hogeschool Utrecht, Syntens en TNO, MKB Nederland, Kamer van Koophandel Utrecht, VNO-NCW, Utrechts Centrum voor Ondernemerschap en Innovatie (CVOI) en het Nederlands Centrum voor Sociale Innovatie (NCSI).",Stichting Economic Board Utrecht,2125597,5.1145627,EFRO,1873878,3511BW,Looptijd: van  1 januari 2007 tot 30 juni 2013
,Multifunctioneel centrum dok Zuid,52.1911415," Gezamenlijke voorzieningen, beheer, programmering, communicatie en de onderlinge samenwerking zijn belangrijke elementen van een Kulturhus. Scholen, kinderopvang, brede school, Centrum voor Jeugd en Gezin, Wijkraad zuid, Wijkcentrum en CODA (o.a. bibliotheek) vormen met elkaar het Kulturhus. De andere helft van dok Zuid bestaat uit een groot Gezondheidscentrum waarin huisartsen, fysiotherapie, apotheek, tandtechniek etc. hun plaats hebben. Gezamenlijk worden er regelmatig kleine en grote activiteiten georganiseerd waaronder een kerstinloop, gezondheidsmarkt, film- en theatermiddagen en Zuiderparkfestival.",Gemeente Apeldoorn,4763000,5.9751663,EFRO,1000000,7333 GZ,Looptijd: van  1 maart 2008 tot 30 september 2010
,Revitalisering Nieuwe Binnenweg,,"Na het bombardement op het Rotterdamse centrum werd de Nieuwe Binnenweg één van de belangrijkste winkel- en uitgaansstraten van de stad. Vanaf de jaren '60 zijn de straat en de omringende woonwijken in een neerwaartse spiraal terecht gekomen. Stadsontwikkeling heeft het initiatief genomen om de negatieve spiraal om te buigen en de Nieuwe Binnenweg weer een aantrekkelijke uitstraling te geven. In het project worden 6000 m2 bedrijfsruimten en gevels herontwikkeld. Door duidelijker profilering vestigen zich 40 nieuwe ondernemers, wordt de winkelleegstand verminderd en worden 60 arbeidsplaatsen gecreëerd. Daarnaast wordt ruim 1100 meter van de straat heringericht en worden 126 panden integraal aangepakt en verbeterd. In 2012 heeft MKB-Rotterdam de Nieuwe Binnenweg uitgeroepen tot leukste winkelstraat van Rotterdam. Het project Revitalisering Nieuwe Binnenweg is door de jury van De Gulden Feniks, de nationale renovatieprijs, genomineerd in de categorie Gebiedsontwikkeling. Samenwerking tussen : deelgemeente Delfshaven, gemeente Rotterdam, vervoerbedrijf RET, Albeda college.",Gemeente Rotterdam,6251050,,EFRO,3523852,3002AN,Looptijd: van  1 januari 2008 tot  1 juli 2014
78636,Protospace Utrecht,52.1028694,"Protospace Utrecht is een laagdrempelige werkplaats waar startende ondernemers, ontwerpers, kunstenaars, uitvinders en studenten zelf hun ideeën of concepten letterlijk tastbaar kunnen maken. Het lab beschikt over moderne, digitaal aangestuurde machines, waarmee een ontwerp wordt vertaald van computerbestand naar een 2D of 3D model in één of meerdere kleuren met potentiële kansen. Het Utrechtse ProtoSpace is méér dan een doorsnee workshop. ProtoSpace beschikt over vijf digitaal aangestuurde machines die innovatieve ideeën omzetten naar een aansprekend en concreet product. Voor advies en begeleiding zijn vijf dagen in de week twee labmanagers beschikbaar. ProtoSpace heeft de ambitie om het meest toonaangevend FabLab van Nederland te worden en weet zich daarbij gesteund door de medewerking van elf partijen die aan de wieg staan van dit kenniscentrum. Bezoekers van ProtoSpace kunnen erop rekenen dat snel en doeltreffend tastbare prototypes worden opgeleverd, die recht doen aan de missie van ProtoSpace: 'Make Your Vision Come Alive!'",Stichting Protospace,674202,5.079606399999989,EFRO,4771818,3534 AM Utrecht,Looptijd: van  1 juni 2008 tot 31 mei 2013
,Ontsluiting Internationale School Eindhoven,33.3671645,"Projectbeschrijving
Eindhoven zet in op de ontwikkeling van een internationale school om de vestigingsvoorwaarde van de regio te verhogen.  Met zo’n school wordt een belangrijke voorwaarde geschapen voor de komst en het behoud van hoogopgeleide internationale kenniswerkers. Het college van Burgemeester en Wethouders heeft besloten om de Constant Rebecque Kazerne te ontwikkelen als Internationale School Eindhoven (kortweg: ISE).",Gemeente Eindhoven,510435,-112.3880339,EFRO,340290,5600 RB,Looptijd: van  1 januari 2012 tot 31 oktober 2013
740841,euroCAT (INTERREG EMR),50.8362845,"Het doel van het project euroCAT is tweeledig: a) de ontwikkeling van een gezamenlijke database met kenmerken van kankerpatiënten, tumors en behandelingen. Het kopiëren van gegevens uit bestaande databases en deze op een grote schaal met elkaar in verband brengen zal de kennis over kanker sterk vergroten en stelt de onderzoekers tevens in staat een voorspelling te doen van individuele behandelresultaten in de komende drie jaar. b) Het vinden van patiënten voor klinisch onderzoek evenals het verminderen en versnellen van de administratie rondom klinisch onderzoek.
 
Met dit project kunnen artsen de kwaliteit van de behandeling per kankerpatiënten drastisch verhogen en daarnaast de snelheid en kwaliteit van klinisch onderzoek verbeteren.
Dit is revolutionair in termen van kankeronderzoek en behandeling. Nergens ter wereld zal zoveel specifieke informatie beschikbaar zijn op één plaats. De Euregio Maas-Rijn wordt hierdoor een ideale plaats voor het verrichten van klinisch onderzoek.
 
Het project zal ook als een katalysator werken voor onderzoek en de ontwikkeling van nieuwe medicijnen, dankzij het feit dat onderzoeksresultaten op grote schaal snel en efficiënt verzameld en gevalideerd kunnen worden. 
 
Andere Nederlandse partner in dit project:
- Maastricht University Medical Center + (MUMC+)
Postbus 616, NL-6200 MD Maastricht
Contactpersoon:
Lou Brans Brabant (Vice-voorzitter raad van bestuur MUMC)
LBB@arvb.azm.nl
 
- MAASTRO Innovations BV (geassocieerde partner)
Dr. Tanslaan12, NL-6229 ET Maastricht
Contactpersoon:
Mevrouw Claire Prummel (Chief Operating Officer)
claire.prummel@maastro.nl
 
- Cathrina Ziekenhuis Eindhoven
Postbus 1350, NL-5602 ZA Eindhoven
Michelangelolaan 2, NL-5623 EJ Eindhoven
Contactpersoon:
H. G. O. M. Berkers (Raad van bestuur)
wim.dries@catharina-ziekenhuis.nl","Grensoverschrijdend samenwerkingsverband met Nederlandse, Duitse en Belgische projectpartners. De leadpartner is: Stichting Maastricht Radiation Oncology (MAASTRO clinic)",887011,5.715288,INTERREG,1627853,6229 ET,Looptijd: van  1 juni 2009 tot 30 oktober 2014
,Opwaardering Lage Wellekade,52.2557667,,Gemeente Deventer,1738411,6.1619228,EFRO,115422,7411 TH,Looptijd: van  1 januari 2007 tot 30 september 2011
4079721,FOCOM: Food and Cognition Modelsystems,51.81965959999999,"Dit begrip zal leiden tot nieuwe mogelijkheden om voedselproducten te ontwikkelen en helpen bij vroege diagnose van cognitieve achteruitgang bij veroudering. Om dit te bereiken worden relevante testopstellingen en modellen ontwikkeld, alsmede voedselsupplementen die de wisselwerking tussen voedsel en het brein zowel kunnen vangen als beïnvloeden. ","Stichting Katholieke Universiteit, Radboud Universiteit Nijmegen",2327730,5.8168384000000515,EFRO,2133564,6525 AJ,Looptijd: van  1 januari 2011 tot 31 december 2015
,Proefinstallatie Nereda technologie rwzi Utrecht,52.0265241,"Proef rwzi Utrecht met nieuwe waterzuiveringstechniek Nereda De rioolwaterzuiveringsinstallatie (rwzi) Utrecht, die per dag 75 miljoen liter afvalwater schoonmaakt, kampt met een verouderde installatie. Onderdelen van de installatie zijn versleten en aan vervanging toe en het schoongemaakte water voldoet binnenkort niet meer aan de normen, die de Europese Kaderrichtlijn Water (KRW) voor de nabije toekomst hanteert. Deze rwzi van het Waterschap Hoogheemraadschap De Stichtse Rijnlanden zorgt voor het lokale en regionale waterbeheer in het zuidelijk deel van de provincie Utrecht en een klein deel van Zuid-Holland. Kansen voor West heeft meebetaald aan een pilot met een proefinstallatie om de nieuwe zuiveringstechnologie Nereda te testen. Deze werd uitgevoerd door het waterschap in samenwerking met het Nationaal Nereda Onderzoeks Programma (NNOP). Bij de Neredatechniek wordt het afvalwater gezuiverd met bacteriën in de vorm van slibkorrels in plaats van slibvlokken. Hierdoor is het zuiveringsslib en het schoongemaakte water makkelijk van elkaar te scheiden. Nabezinktanks, om de laatste vlokken slib uit het water te halen, zijn dan niet meer nodig. Deze techniek heeft zich in kleinere zuiveringsinstallaties bewezen als effectief, energiezuinig en ruimtebesparend. De vraag was of dit ook bij grotere installaties het geval is. Het onderzoek gaf nauwkeuriger inzicht in de kosten en toepassingsmogelijkheden van Nereda ten opzichte van de andere mogelijke varianten op het gebied van waterzuivering. Het waterschap bepaalt in 2016 tot welke type zuiveringsinstallatie zal worden overgegaan, mede op grond van de bevindingen van deze proef.",Hoogheemraadschap De Stichtse Rijnlanden,1478961,5.1748073,EFRO,985974,3994DD,Looptijd: van 31 mei 2012 tot 31 december 2014
397200,BATS,53.320127,"Het project Bedrijfsgerichte Actie Techniek en Scholing (BATS) verbindt de ambitie van het ROC Noorderpoort met de ambities van het bedrijfsleven om het onderwijs efficiënter, effectiever en aantrekkelijker te maken. Het gaat daarbij om een voor de regio unieke pilot op het vlak van praktijk gestuurd leren met een goede interactie tussen bedrijven en school.
 
De bedrijven hebben zich in het kader van dit project verenigd in de stichting support Allround Operationeel Technicus (AOT). Er wordt een simulator aangeschaft en er wordt ondersteunend lesmateriaal ontwikkeld. Tijdens de opleiding maakt de simulator het mogelijk om praktijksituaties op de werkvloer na te bootsen en daarmee de aansluiting met het werk heel concreet te maken. De software van het systeem maakt het mogelijk om van diverse omgevingen simulaties te draaien. Een voorbeeld is een energiecentrale. De energiesector is een sector die als gevolg van de diverse ontwikkelingen dringend behoefte heeft aan goede en breed inzetbare werknemers op het  technologische vlak in de Eemsdelta regio. Bedrijven als NUON, RWE, NAM (en waarschijnlijk ook de GASUNIE) hebben zich om deze reden aangemeld als lid van de stichting support AOT.",Noorderpoortcollege ROC,427400,6.9113324,EFRO,427400,9932 AA,Looptijd: van 23 juli 2008 tot  1 augustus 2012
19077,Fysieke Digitale Delta,,"De watersector heeft veel baat bij slimme ICT-toepassingen. De waterbeheerders in Nederland investeren jaarlijks vele miljoenen euro’s op basis van gegevens, data en voortgebrachte informatie. Het nationale programma Digitale Delta heeft de ambitie om een kwaliteitsslag te maken door betrouwbare data via een gezamenlijk open, schaalbaar en beheersbaar IT-platform beschikbaar te stellen. Daarbij gaat het om het centraal ontsluiten van data, die eenduidig geïnterpreteerd kunnen worden, zodat toegepaste informatie ontstaat voor alle relevante publieke en private partijen. Via dit IT-platform worden bestaande en nieuwe (open) data eenvoudiger en breder ontsloten en wordt het hergebruik van toepassingen, tools, modellen en algoritmen mogelijk gemaakt. Dit leidt tot efficiency- en kwaliteitsvoordelen voor de waterbeheerders en verlaagt de drempel voor onderzoekers en bedrijfsleven om nieuwe kennis toe te passen. Kansen voor West droeg bij aan het deelproject ‘De Proeftuin Fysieke Digitale Delta’. Daarvoor richtte het Hoogheemraadschap van Delfland een proeftuin in, met vijf proefprojecten op het gebied van informatiemanagement, R&amp,D en innovatie. Vanuit ieder project werd de meerwaarde van het platform ervaren, zoals bij de showcase pilot ‘slim sturen op zoutintrusie’. Dankzij het platform konden in dit project bestaande databronnen en informatiesystemen met elkaar worden verbonden. Delfland kan nu op een eenvoudige manier diverse eigen data ontsluiten en beschikbaar stellen aan de buitenwereld. Bovendien kan sindsdien steeds beter tegemoet gekomen worden aan het toegenomen aantal verzoeken om informatie van buitenaf.",Hoogheemraadschap van Delfland,714167,,EFRO,289222,2611AL,Looptijd: van  1 februari 2013 tot  1 februari 2015
,Ondernemershuis Westelijke Mijnstreek,50.9995937,"Projectbeschrijving
Het Ondernemershuis is een tweede thuis voor alle ondernemers in de Westelijke Mijnstreek, een plek waarin men kennismaakt, ideeën uitwisselt, elkaar helpt en versterkt. In dit huis zijn instanties gevestigd die de ondernemer kunnen helpen op tal van terreinen zoals het aanvragen van vergunningen of het regelen van financiële aangelegenheden. Bij de samenstelling van de diensten van het Ondernemershuis is ook gekeken naar de vraag van de ondernemer. Signalen in de regio gaven aan dat ondernemers het moeilijk hadden. Ze hadden grote en kleine problemen, bijvoorbeeld met vergunningen, personeel een financiering of product verbetering. Opvallend was dat ze soms aan de andere kant van de wereld naar de oplossing zochten, terwijl hun buurman mogelijk ook had kunnen helpen. 
 
 
Waar liggen de behoeften van het MKB in de Westelijke Mijnstreek. Daarbij draait het dus om de vraag. Anderzijds draait het om het antwoord want heeft de ondernemer een vraag dan is de kans groot dat hij/zij meteen een antwoord krijgt. Is verdere actie noodzakelijk, dan ontmoet de ondernemer in het Ondernemershuis de partner die hem/haar verder kan helpen in het vervolgtraject.",Gemeente Sittard-Geleen,900000,5.8519364,EFRO,600000,6135 KW,Looptijd: van 24 maart 2009 tot 28 februari 2012
2186662,ParkinsonNeXt,51.82401979999999,"  Hiermee kan online contact onderhouden worden met mede-patiënten, mantelzorgers en behandelaars, kunnen de patiënten ondersteund worden bij het innemen van hun medicatie, kunnen zij zichzelf qua gezondheid monitoren en zelfdiagnose stellen, kan een integraal behandelplan in samenspraak met de behandelaar worden opgesteld en op continue basis worden aangepast aan dagelijkse gezondheidssituatie, monitoring en voortschrijdende diagnose. Daarnaast kan de behandeling qua training van fysieke en cognitieve functies worden verbeterd door beweging met interactieve trainings- en monitoringsapparaten en door middel van applied interactive games.",,893196,5.868580299999962,EFRO,1084524,Nijmegen,Looptijd: van  1 juni 2013 tot  1 september 2015
25530964,Bioproces Pilot Facility (BPF),52.015434,"De komende decennia staan in het teken van de overgang van een 'fossil-based economy' naar een 'bio-based economy'. Hiermee wordt de overgang bedoeld van een economie die (te) sterk afhankelijk is van fossiele grondstoffen De stap van laboratoriumschaal naar industriële schaal is een bottleneck bij het omzetten van biobased reststromen zoals landbouwafval, naar grondstoffen voor bouwmaterialen, chemische en farmaceutische producten en biobrandstoffen. Het Bioprecess Pilot Facility (BPF) project is een proeffaciliteit in Delft. Hierin kunnen bedrijven en kennisinstellingen hun ideeën testen of deze ook op grotere schaal haalbaar zijn. Het BPF maakt het mogelijk om problemen te signaleren en op te lossen die op laboratoriumschaal niet aanwezig zijn, maar voor toepassing op industriële schaal in kaart moeten worden gebracht. Dit is nodig om de biobased economie, waarin het gebruik van biomassa in plaats van vervuilende grondstoffen centraal staat, te realiseren. De proeffaciliteit in Delft is wereldwijd de eerste in haar soort. Zowel de schaalgrootte als het open karakter maakt de faciliteit uniek. Nederland, en in het bijzonder de Zuidvleugel van de Randstad, wordt hiermee in Europa koploper in de ontwikkeling van de biobased economie. Het BPF project zal bestaan uit losse modules, zoals een bioraffinage sectie, biochemicaliën pilot installatie, geavanceerde bioprocessen pilot installatie en een scheidingstechnologie installatie. De gebruiker stelt uit de beschikbare modules zelf het proces samen dat getest zal worden. Van verschillende methoden van voorbehandeling van de biomassa, fermentatie, opwerking en zuivering, tot derde generatie bioprocessen. Hierdoor is de proeffaciliteit flexibel en afgestemd op de meest uiteenlopende bedrijfstakken, van klein naar groot, van chemische industrie tot apparatenbouw. De faciliteit zal ook dienen als een expertisecentrum, waar studenten van mbo tot universitair, onderzoekers en technologen de mogelijkheid hebben om een opleiding of training te volgen. Samenwerking tussen : provincie Zuid-Holland, gemeente Delft, TU Delft, CSM/Purac, DSM en overige BE-Basic partners.",Bioprocess Pilot Facility B.V.,15854580,4.3389808,EFRO,4645000,2613AX,Looptijd: van  1 december 2009 tot 31 maart 2015
