project_title,beneficiary,start_date,end_date,eu_cofinancing_amount,total_amount,priority_axis,thematical_program,fund_acronym
Οδικό Δίκτυο παρα το Νέο ΓΣΠ,Τμήμα Δημοσίων Έργων,2010,2010,27017064,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΒΑΣΙΚΕΣ ΜΕΤΑΦΟΡΙΚΕΣ ΥΠΟΔΟΜΕΣ,ΑΠ 2 > Ειδικός Στόχος 2: Επέκταση / Αναβάθμιση Οδικών Υποδομών,ERDF
Δρόμος Πρωταρχικής Σημασίας που συνδέει το νέο Λιμάνι Λεμεσού με τον Αυτοκινητόδρομο Λεμεσού - Πάφου - ΚΑΘΕΤΟΣ ΔΡΟΜΟΣ-ΜΕΓΑΛΟ ΕΡΓΟ,Τμήμα Δημοσίων Έργων,2010,2010,104079519,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΒΑΣΙΚΕΣ ΜΕΤΑΦΟΡΙΚΕΣ ΥΠΟΔΟΜΕΣ,ΑΠ 2 > Ειδικός Στόχος 2: Επέκταση / Αναβάθμιση Οδικών Υποδομών,ERDF
EUREKA/EUΝΕΑ/0308/03,Sigint Solutions Ltd,2008,2013,157000,143875.79,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
EUREKA/EUΝΕΑ/0308/01,SignalGenerix Ltd,2009,2012,169770,158320,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
EUREKA/EUΥΦΙ/0308/01,Αναπτυξιακός Οργανισμός Τάλως Λτδ,2008,2012,109802,108925.88,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/01,SmartWebsites Ltd,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/02,Ant. Menelaou Food Analysis & Services Ltd.,2008,2009,5000,0,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/03,Α. Ιακωβίδης Λτδ,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/04,Logosnet Services Ltd,2008,2008,4987.5,4987.5,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/05,Hotel Express Cyprus Ltd,2008,2008,4985,4985,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/06,EPOS-Iasis Research and Development Ltd,2008,2008,4340,4340,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/07,CNI Noesis Chemoinformatics Ltd,2008,2008,4347,4347,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/08,PRIMETEL PLC,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/09,CNE Technology Ltd,2008,2008,4950,4950,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/10,S&T PLASTIKON LTD,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/11,THEOHALKO Solar Energy Industry Ltd,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/12,Elysee Irrigation Ltd,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/13,Hydrus Ltd,2008,2009,5000,0,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/14,CHR.KONTOS ENTERPRISES LTD,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/15,A.G.M. PLAST LTD,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/16,Peratica Trading Ltd,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/17,MELIS IOANNOY LTD,2008,2008,5000,5000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
KAINOTOMIA/ΚΟΥΠΟΝΙ/0308/18,Gemigar Ltd,2008,2009,5000,0,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΑΣΤΙ/0308 (ΒΙΕ)/01,Πανεπιστήμιο Κύπρου,2008,2012,139885,128097.14,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΑΣΤΙ/0308 (ΒΙΕ)/02,ΤΕΠΑΚ,2008,2010,123230,98584,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΑΣΤΙ/0308 (ΒΙΕ)/06,ΤΕΠΑΚ,2008,2013,139960,117122.3,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΑΣΤΙ/0308 (ΒΙΕ)/10,Δήμος Πέγειάς,2008,2013,140000,139101.57,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΦΥΣΗ/0308 (ΒΙΕ)/04,ΤΕΠΑΚ,2008,2013,135107,108085.6,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΦΥΣΗ/0308 (ΒΙΕ)/10,Πανεπιστήμιο Κύπρου,2008,2012,139531,113479.2,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΕΙΦΟΡΙΑ/ΦΥΣΗ/0308 (ΒΙΕ)/11,Κυπριακό Ινστιτούτο Βιοϊατρικών Επιστημών,2008,2012,96500,33775,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΝΑΒΑΘΜΙΣΗ/ΠΑΓΙΟ/0308/02,Πανεπιστήμιο Κύπρου,2008,2008,393592,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΝΑΒΑΘΜΙΣΗ/ΠΑΓΙΟ/0308/04,Πανεπιστήμιο Κύπρου,2009,2009,55180,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΝΑΒΑΘΜΙΣΗ/ΠΑΓΙΟ/0308/05,Medsonic Ltd,2009,2009,399944,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
ΑΝΑΒΑΘΜΙΣΗ/ΠΑΓΙΟ/0308/07,Πανεπιστήμιο Κύπρου,2009,2009,396332,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 3: ΚΟΙΝΩΝΙΑ ΤΗΣ ΓΝΩΣΗΣ ΚΑΙ ΚΑΙΝΟΤΟΜΙΑ,"ΑΠ 3 > ΕΣ 1 > Σχέδιο Χορηγιών : Δέσμη Προγραμμάτων για Έρευνα, Τεχνολογική Ανάπτυξη και Καινοτομία",ERDF
