fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
other,24.09.2013,,Gavin and Doherty Geosolutions,"The business is a specialist geotechnical engineering consultancy, providing innovative geotechnical solutions to a broad range of engineering problems. It is an Irish-based company that provides engineering services to the international market, including concept design, detailed design, in-situ monitoring and general geotechnical advice.",11094,Dun Laoghaire-Rathdowne
other,21.11.2012,,Comsconsult Ltd,"Assistance towards the creation of 2 full time positions - Public transport WiFi, CCTV and IT apps business.",20000,Fingal
other,06.03.2013,,Motorcycle Rental Irl Ltd,Assistance towards capital expenditure costs to business renting Motorcycles and equipment and organising personalised motorcycle tours targeting overseas Tourists / Visitors,30000,Fingal
other,26.06.2013,,NADA,"Assistance towards the creation of two fulltime positions in National Athlete Development Academy Ltd. (NADA) provides accessible performance improvement to athletes and coaches across the full spectrum of Sports, Exercise, Health and Lifestyle involvement, from elite athletes and coaches to community participants of all ages.",5000,Fingal
other,26.06.2013,,Platinum Paper,Assistance towards the creation of 5 fulltime positions in business which manufactures and Exports Paper. Slicing bespoke paper for export.,50000,Fingal
other,06.11.2012,16.08.2013,Damien Enright,Provision of english courses to students from Spain. Support towards salary costs,7500,Kerry
other,18.09.2013,19.11.2013,Healthy Bedding,Expansion of pillow and furnishing manufacturer. Support towards new equipment,60000,Kerry
other,07.03.2013,02.10.2013,HR & Business Solutions,Development of an online portal offering HR support services- support towards capital and marketing costs,12750,Kerry
other,10.05.2013,11.12.2013,J&B McCarthy Construction Ltd,Purchase of a new timber harvesting system using skylines that allows access to difficult to acccess areas- support towards capital costs,60000,Kerry
other,06.11.2012,27.05.2013,Tomaz Kozien,Production and refurbishment of automotive turbines- support towards equipment costs.,15000,Kerry
other,20.02.2013,08.10.2013,Valentia Island Farmhouse Dairy,Expansion of ice-cream manufacturing facility- support towards capital costs.,7390,Kerry
other,09.11.2012,,Ark Animal Care Ltd,"Provide expertise through consultancy and supply of appropriate products to intensive farmers such as vaccines, antibiotics, and nutritional products etc",17050,Kildare
other,07.03.2013,,Beauty Results Ltd,Production and distribution of organic tanning lotion,10000,Kildare
other,17.09.2013,,Carve On Ltd,Design & manufacture of a contemporary range of  Irish made goods from carefully sourced natural materials and distribute them through various channels.,4032,Kildare
other,22.05.2013,,Compass Ireland,Distribution of Irish books to a customer base in the USA as well as at home and around the world,3750,Kildare
other,01.06.2012,,Entropic Ltd,"design and supply of energy efficient heating, ventilation and air conditioning solutions to commercial buildings.",7500,Kildare
other,01.09.2013,,Enviro Hygiene Specialista Ltd,"air duct inspection, risk assessment, cleaning and certification",10000,Kildare
other,01.06.2013,,IBHT,"high quality training courses for professionals in beauty, hair and complementary health sectors",8836,Kildare
other,09.05.2012,,Kelleher Casual Wear Ltd,Manufacture of Knitwear,3950,Kildare
other,21.05.2013,,Shalford Ltd,"design, craft and install high end kitchens and fine furniture",16000,Kildare
other,01.09.2013,,Superior Print Ltd,"manufacture and print of paper bags for the food, pharmaceutical, retail and clothing sectors",3750,Kildare
other,01.11.2012,,Trinity Brewing Company Ltd,production of beer for the craft beer sector,17000,Kildare
other,25.07.2012,,Irish Point to Point Services Ltd,"Website and Printing for Irish Point to Point racing, require extra employee to deal with growth in business.",5000,Kildare
other,28.05.2012,31.12.2013,Frisby Quality Services Ltd,Provision of temperature mapping services to the pharmaceutical industry,2865,Kilkenny
other,08.04.2013,31.12.2013,Kilfera Pet Products Ltd,Manufacture and distribution of quality pet toys and accessories.,4604,Kilkenny
other,23.09.2013,31.12.2013,Cushendale Woollen Mills Ltd,Production of high quality woollen fabrics,5625,Kilkenny
other,08.07.2013,31.12.2013,Gowran Montessori,Provision of montessori childcare services in the Gowran area,6924.38,Kilkenny
other,04.11.2013,31.12.2013,Greensbridge Engineering,Production and sale of high quality precision mechanical parts,30939.13,Kilkenny
other,08.07.2013,31.12.2013,Mileeven Ltd,Production of honey and honey related products,14472.8,Kilkenny
other,01.07.2013,,Atlas Global Metal,Business Expansion Manufacture & world-wide sales distribution of simplefeeder an automated feeder unit mainly for the equine industry,12256,Limerick City
other,01.07.2013,,Axis Envirnomental,Aims to develop air emmissions monitoring of the business with regards to compliance testing and processing plant assessment business expansion grant,31220,Limerick City
other,23.10.2013,,Cater Care Ltd.,"Business Expansion grant Reposition services offered to food manufacturing services, food production development, planning, food compliance, food traceability, food labelling, food business restructure, auditing systems development",7548.6,Limerick City
other,26.09.2013,31.12.2013,Frank McCourt Museum,"Business Expansion Grant The museum has been developed to showcase memorabilia & artifacts donated from family and friends of Frank McCourt, towards capital equipment",7248,Limerick City
other,30.04.2013,31.12.2013,Our Lady Of Lourdes,Business Expansion Grant for development of cafe in Our Lady of Lourdes commended redevelopment work in January 2012 to incorporate the installation of a combined service area for hot and cold food service.  The cafe sit n sip will have its own identity and designated space with a new access from the street.,14226.33,Limerick City
other,22.11.2013,31.12.2013,CHL Reasland Ltd,"Business Expansion Grant C.H.L product offering include general engineering services, C&C Milling, C&C Turning precision grinding and gear cutting - they have successfully targeted the export market and secured new business, they now wish to purchase a new machine",30000,Limerick City
other,03.12.2013,,Sinnott Training,"Business Expansion Sinnott Training STAC is a first aid training company, they also have designed a program to teach first aid to primary school children.  STAC now wishes to take on a sales person to reach into international markets",3750,Limerick City
other,11.11.2013,,Visitors TV,"Business Expansion Visitor Tv is a destination marketing company offering advertisers targetting visitors a platform solution to reach visitors before, during and after their visit, revenue to be generated from advertising on these platforms, partner fees as well as monthly fees for product listings",20182,Limerick City
other,10.12.2012,31.12.2013,Airmount -Employment,Airmount Engineering Services for the Aeronautical sector,13500,Limerick County
other,28.01.2013,,Design Pro,Manufacture of robotic devices for the pharmaceutical and cosmetic industry.,85000,Limerick County
other,24.05.2013,,Michael O' Donnell,Light Engineering Company manufacturing gates and railings.,7000,Limerick County
other,18.02.2013,,Colin Power Plastic Fabrication Limited,To expand a plastic fabrication business through the purchase of equipment and employment of one full-time person,10000,Meath
other,18.02.2013,,FloWeb Design,"Graphic design, logo design and printing business_x000D_",10000,Meath
other,01.01.2013,31.12.2013,Mimi Toys,Grant to cover the cost of business specific training_x000D_,1244,Meath
other,01.01.2013,31.12.2013,Oldcastle Laboratories Limited,Laboratory services to the veterinary sector and the general public,38302,Meath
other,11.06.2013,11.11.2013,Brian Maher T/a Tipp Wood Chip,Investment in equipment to assist in the expansion of the business.,20458,North Tipperary
other,11.06.2013,20.12.2013,Cahson Ltd,"Business expansion grant provided towards Capital and equipment, Marketing, Consultancy and Salary costs.",15490,North Tipperary
other,16.04.2013,10.10.2013,Chimney Draught Stop Ltd,Business Expansion Grant to cover the cost of Consultancy to expand into the UK market.,33306,North Tipperary
other,16.04.2013,20.12.2013,Crossogue Preserves Ltd,Business expansion grant towards the cost of equipment and marketing costs,5310,North Tipperary
other,18.07.2012,10.01.2013,KDA Logistics Ltd ,Business Expansion Grant towards marketing cost and employment costs,23304,North Tipperary
other,17.04.2013,29.11.2013,Spillane Bespoke Furniture Ltd,Business Expansion Grant towards the cost of equipment.,19500,North Tipperary
other,07.02.2013,27.05.2013,Templetuohy Farm Fresh Foods Ltd,"Grant assistance towards the cost of equipment, marketing and business specific training.",86000,North Tipperary
other,11.06.2013,11.12.2013,The Scullery Ltd,"Business Expansion Grant towards the cost of new equipment to include a labeller,a metal detection unit, a filling machine, steam jacketed cooker and a label printer.",34000,North Tipperary
other,11.11.2013,11.11.2014,Future People Ltd,Specialised traing and development service for large multi-nationals,4000,South Tipperary
other,01.01.2013,31.03.2014,Red City Manufacturing,"Manufacture of flat pack furniture(understairs storage units, bedroom furniture) for export to UK. Expenditure was on the purchase of DNC( Distributed numerical control) machine",28400,South Tipperary
other,07.09.2012,23.11.2013,Lightspeed Communications,Fibre optic services for network installations. Expenditure was for capital equipment required for installations,13218,South Tipperary
other,06.02.2013,12.03.2014,Tipperary Custom Embroidery,Design and manufacture of logos for garments,25442,South Tipperary
other,08.02.2013,12.03.2014,SIX 023 Scientific,Sale of specilaised Laboratory equipment,4000,South Tipperary
other,03.10.2013,03.10.2013,Sunshine Confectionary,"Manufacture of Blaas (soft rolls), which are produced under Protected Geographical Indication status, which protects regional foods that have a specific quality, reputation or other characteristics attributable to that area.  It acts like a Trade Mark, and stops manufacturers from outside a region copying a regional product and selling it as that product",65686.73,Waterford City
other,23.09.2013,18.12.2013,Amandine Ltd,Expansion of cake manufacturing business,20000,Waterford County
other,04.03.2013,,Emerald Cargo Systems Ltd,Expansion of an innovative approach to logistics with creation of 1 new job,12500,Waterford County
other,03.12.2012,,Marli Products Ltd,Manufacture of Injection moulded products with the creation 3 new jobs,54350,Waterford County
other,03.12.2012,,Pirates Adventure,Family Entertainment Centre in Tramore with creation of 1 new job in a marketing role,5375,Waterford County
other,15.07.2013,,Dunhill Timber Pallets,Expansion of pallet manufacturing business with creation of 1 new job,5000,Waterford County
other,26.03.2012,26.03.2013,Alice Kelly Millinery,Design and manufacture high fashion hats and fascinators.,8248.62,Wexford
other,24.09.2013,31.12.2013,Denise Pinnegar,Manufacture of unique contemporary fashion knitting and crochet patterns.,3750,Wexford
other,29.01.2013,31.12.2013,Kehoe Farming,Provision of a range of feed and bedding products to the farming sector.,17500,Wexford
other,28.05.2013,31.12.2013,Management Systems Certification Ltd,"Certifying companies to a range of standards including ISO9001, ISO14001",3430.48,Wexford
other,29.01.2013,31.12.2013,Skytel Networks Ireland Ltd,Development of a series of apps facilitating download of call credit to smart phones.,7500,Wexford
other,24.09.2013,31.12.2013,Taoglas Ltd,"Provision of a comprehensive range of external, embedded and base-station antenna solutions for M2M applications, such as telematics/automotive smart-grid metering.",3750,Wexford
other,25.06.2013,31.12.2013,Toddle Marketing Solutions,Provision of self service e-mail marketing system for businesses worldwide.,7500,Wexford
other,26.02.2013,31.12.2013,Weber Packaging Solutions Ltd,Manufacture and distribution of self adhesive labels and labelling systems.,8750,Wexford
other,25.06.2013,31.12.2013,Wexford Brewing Co Ltd,Establishment of a microbrewery,11125,Wexford
other,23.04.2013,31.12.2013,Wexford Home Preserves,Produce luxury handmade jams and marmalades using all natural ingredients,49999.08,Wexford
other,26.03.2013,31.12.2013,Wild About Food Ltd,Manufacture of a range of hand crafted artisan foods from native wild ingredients,7500,Wexford
other,14.11.2012,14.11.2013,Bomar Ltd,"Manufacture and distribute oils, soaps",38629.96,Wicklow
other,04.09.2013,03.09.2014,My Legal Diary (3),"My Legal Diary is a cloud based resource for the legal profession that automates case tracking and searches. It has three features: 1) the extensive database of legal cases, currently 450,000; 2) daily parsing of updates and amendments to these cases; and 3) a subscription-based user interface that allows tracking of the legal cases. The Intellectual Property that has been developed is owned 100% by My Legal Diary Ltd",19016.42,Wicklow
other,18.06.2013,17.06.2014,Microtolerance,Microtolerance Limited is a precision engineering company providing a one stop shop solution to manufacturing companies and other customers for their specific engineering requirements,60000,Wicklow
other,19.02.2007,19.12.2007,OMF Engineering Limited / Cap,"Grant Assistance - Start up business Automotive, Engineering and design. OMF",47641.24,Carlow
other,19.02.2007,24.07.2007,Mount Leinster Stone Limited / Cap,"Mount Leinster Stone design, manufacture and Fit bespoke Granite and marble worktops. _x000D_Grant assistance for an edge polisher to improve finished product. ",60000,Carlow
other,19.02.2007,24.07.2007,T&O Pipe Bending Limited/ Cap ,Engineering Company - T&O Pipe Bending. Manufacture of Pipes from raw materials to welding fittings onto those pipes. ,62534.87,Carlow
other,19.02.2007,30.10.2007,PIPE Eng Limited / Cap ,"Engineering Company P.I.P.E Engineering Limited, Capital grant to assist in the purchase of a profile bending machine and tooling for press necessary to grow business.",26312,Carlow
other,19.02.2007,03.09.2007,P Tully & Sons Limited / Cap,Manufacture of laminated vaneers for use on uPVC and MDF components._x000D_ Assistance to purchsase machinery to maintain competitiveness and employment in the business.,35288,Carlow
other,12.02.2008,15.12.2008,Danelle Recycling Limited/Cap,"Danelle Recycling Limited, specialist in commercial and industrial recycling; _x000D_offering recycling solutions to its customers. _x000D_- Balers for cardboard and plastics. _x000D_- Compaction equipment for tins/cans and general waste. _x000D_- Shredders for wood and paper _x000D_- Ton bags for segregating recycables before uplift. _x000D_- Skips for large volumes of recycable material. _x000D_",39685.18,Carlow
other,12.04.2007,19.12.2007,Aga Polish Kitchen / Cap,capital grant for kitchen machinery for manufacturing polish cusine and distributing in the south east region.,30000,Carlow
other,18.09.2007,16.07.2008,Kelly Car Salvage,To aid in the purchase of a telescopic loader to assist in his business of recycling of end of life vehicles,20000,Carlow
other,25.07.2008,09.12.2008,Glenn Lucas Crafts / Cap,Capital Grant to assist in the development of his workshop and production systems.,8449.64,Carlow
other,01.05.2008,17.11.2008,Technical Stonework Ltd / Cap,Purchase of CNC machine to remain competitive against Chinese and Indian importers.,98170.32,Carlow
other,01.05.2008,08.12.2008,Ballyglisheen Stud / Cap,To assist in the procurement of materials for the development of an artifical insemination business for stallions.,8489,Carlow
other,23.10.2008,20.03.2009,Lightning Print & Design Limited / Cap,"Lightning Print and Design Limited providing primarily a graphic design service and print service generally for business clients. Standard serives would include design and print of the following: _x000D_Stationery (Business cards, letterheads, compliment slips, invoice slips etc), Brochures, Leaflets, Menus, Banner Stands, Posters, Booklets etc.  Funding to support the purchase of a DI Press to open new opportunities to attract a whole level of new business.",30000,Carlow
other,21.01.2009,24.02.2009,Edwards Engineering/Cap,"Edwards Engineering,offer a range of engineering and related services to a wide variety of clients from both the commercial and domestic sectors. Specialists in: Project Management, Structural Steelwork and Planning, Bridge Fabrication and Refurbishment,Conveying and productions systems, Process Engineering and Mechanical Handling, Stainless Steel Fabrications and Security Gates. Edwards Engineering designed a 4 hr fire proof door. Only one of two authorised ESB substn door manufactures",50000,Carlow
other,01.05.2008,20.05.2009,James Patrick Flood T/a Ballyglisheen Stud/Cap,Horse Breeding by way of artificial insemination. Grant Assistance to assist in the procurement of materials for the development of an artifical insemination business for stallions.,8300.68,Carlow
other,23.10.2008,23.10.2009,Denis Kavanagh T/A Kavanagh Engineering / Cap,Kavanagh Engineering is involved in general engineering and metal fabrication including the manufacture of log holders._x000D_Objective of this application is the upgrade of plant and equipment to maintain a competitive advantage over his competitors in the market place.,14000,Carlow
other,15.01.2009,15.07.2009,Carlow Brewing Company/Cap,"Carlow Brewing Company is an independent Irish Brewery founded by the O'hara's in 1996. The company provides quality Irish Beers, under the O'Hara's flagship brand.  for the consumer to enjoy. Expansion of the company to a new premises. Capital grant provided for new equipment to allow expansion.",140000,Carlow
other,25.07.2008,25.07.2009,The Piano Gallery / Cap,"The Piano Gallery - Piano selling and restoration. Introduced Schimmel Pianos to Ireland. Piano Gallery is unique in Ireland as the only piano company that insists all tuners and technicians used are accredited by the ""pianoforte Tuners Assosciation"" _x000D_Capital grant application for a Klavier Roller system to help with the mobility of pianos",13364.92,Carlow
other,23.10.2008,16.12.2009,Byrne Livestock Feeds / Cap,Byrne Livestock Feed manufacturing animal feedstuff with minerals and vitamins added. Manufacuring tow main product ranges under the BLF label; Powder mineral supplement for ading to livestock Feeds and a block mineral supplement for leaving out on grass. Capital grant assistance to purchase injection moulding machine to make plastic buckets in which his animal feed will be distributed.,19448.14,Carlow
other,01.01.2010,31.12.2010,Jap Engineering Limited / Cap,"Jap Engineering is a private limited company providing the following products/services _x000D_- Specialists in the repairing and re-building of heavy duty hydraulic Rams. _x000D_- Stockists of Hydraulic Seals, Chains and sprokets. _x000D_Assistance with the purchase of 3 machine for the extension of his new premises allowing more heavier work to be carried out.",40021.82,Carlow
other,01.01.2010,31.12.2010,Alpine Doors / CAP,"Manufacture of steel doors. _x000D_Grant was for equipment required to enable the company to maximise output from their workshop.  Equipment Cold Roll Forming machine, machine for angle and air gus for fencing.",20000,Carlow
other,01.01.2010,31.12.2010,Dalite Moulds / Capital,Manufactures of Fibreglass Machine Guards & Moulds for Architectural Plasterwork.,20000,Carlow
other,15.07.2010,31.12.2010,Lisnavagh Timber Project / Cap,The grant was for the purpose of developing the workshop and equipment.,28005.38,Carlow
other,12.06.2007,31.12.2008,Ard Saoilse/ Capital,Ard Saoilse_x000D_-Sound & Lighting Project,30000,Clare
other,12.06.2007,31.12.2008,Barry Wrafter/ Capital,Barry Wrafter Sculptor_x000D_-Stone Sculptor,23600,Clare
other,10.04.2007,31.12.2008,John Maloney/Capital,John Maloney_x000D_-Desktop Publishing Co.,16294,Clare
other,01.01.2007,31.12.2008,Aaron Value/Capital,"Aaron Value_x000D_-Capital_x000D_-This company offers a service to debug, rework, repair and manufacture electronic and electrical assemblies and prototypes. It also provides training and advice to companies in setting up and managing their electronic and electrical businesses.",45000,Clare
other,12.06.2007,31.12.2008,Tuamgraney Roofing/Capital,"Tuamgraney Roofing_x000D_-This project involves the cutting to size, assembly and fit of pre-finished timber windows. The timber is painted or coated on arrival to the workshop and is designed to be maintenance free. The product is an import substitution",70000,Clare
other,12.06.2007,31.12.2008,Thornud Trading Ltd./Capital,Thornud Trading_x000D_-Capital_x000D_-This business provides premier landscape and architectural outdoor lighting,2800,Clare
other,12.06.2007,31.12.2008,Sportsworld Netting/Capital,Sportsworld Netting_x000D_-Capital_x000D_-The promoter of this product is involved in high netting systems for use at ball game pitches to contain balls from play. It is safety netting for construction sites and industry and is a containment netting for landfill sites,40000,Clare
other,12.06.2007,31.12.2008,Christian Vigurs/Capital,"Christian Vigurs_x000D_-Capital_x000D_-The promoter of this project is involved in the design, manufacture, delivery and installation of custom made furniture.",17500,Clare
other,10.04.2007,31.12.2008,Cakes by Desire/ Capital grant,"Cakes by Desire_x000D_-Capital_x000D_-Production of bespoke cakes for weddings, birthdays and special events targeting a market comprising of weddinfs, christenings, grown ups events and childrens birthday parties",13000,Clare
other,11.09.2007,31.12.2008,WowWee.ie/ Capital grant,WowWee.ie_x000D_-capital grant_x000D_-This business in involved in developing the online service of purchasing gifts and cards and targeting the corporate market.,11516,Clare
other,11.09.2007,31.12.2008,Gutter Clean/ Capital Grant,Gutter Clean_x000D_-Latest technology available on the market for cleaning gutters and all debris and sediment with a telescopic rod connected to a vacuum system.,10746,Clare
other,11.09.2007,31.12.2008,Stone Innovations/Capital,"Stone Innovations_x000D_-Capital_x000D_-This project involves the processing of grey/ blue flagstones into various cut stone products such as window sills, lentils, plinths, archways, fireplaces, steps etc.",14518,Clare
other,13.11.2007,31.12.2008,Authentic Irl. Travel/Capital,Authentic Irl Travel_x000D_-Capital_x000D_-This company offers a range of customised self drive tours of Ireland to US visitors. The company actively promotes the Shannon and Clare region with 75% of their clients travelling to the Shannon region under their advice.,14520,Clare
other,25.03.2008,25.03.2009,Siobhan Tierney/ Capital Grant,"Siobhan Tierney_x000D_-Art and Craft classes specialising in pottery parties, based on Quin Road, Ennis",6000,Clare
other,11.12.2007,11.12.2008,Burren Perfumery/Capital,Burren Perfumery_x000D_-Capital_x000D_-This company manufactures high end fragrances and cosmetics. The products are natural and organic cosmetics.,24000,Clare
other,13.11.2007,31.12.2008,Patrick McHugh/Capital,Patrick McHugh_x000D_-Capital-This enterprise is a commercial photography business with a focus on digital image management and digital art sales._x000D_,7106,Clare
other,12.06.2007,31.12.2008,Karol Lynch/Capital,"Karol Lynch_x000D_-Capital_x000D_-This project refers to the operation of a studio to provide recording services to a vast number of musicians. The services offered at recording , mixings, editing, mastering and sound dubs for television which can be done individually or as a package.",12392,Clare
other,24.06.2008,24.06.2009,Atlantic Airventure (2)/Capital,"Atlantic Airventure_x000D_-Capital_x000D_-This project involves the setting up a pioneer hanger project which will be the centre for learning, information and recreation. The project will deal with aviation and visitors will be able to take the guided tour of an aviation education programme.",20000,Clare
other,13.05.2008,13.05.2009,Alec Good/Capital,Alec Good_x000D_-Capital_x000D_-This company manufactures specialist ceramic pottery for giftware and tableware.,30000,Clare
other,24.06.2008,24.06.2009,Little Bubbles/ Capital Grant,"Little Bubbles_x000D_-Creche in Shannon, Co. Clare._x000D_-Provision of montessori and childcare facility for the shannon area and environs",19724,Clare
other,13.05.2008,13.05.2009,D2 Print/ Capital Grant,"D2 Print_x000D_-This business provides commercial printing, spot and full colour print specialising in foiling and embossing.",24000,Clare
other,13.05.2008,13.05.2009,Barneys Kids Club/ Capital Grant,Barneys Kids Club_x000D_-This project relates to a family orientated up market play space with an educational undertone. The centre will involve the three tier climbing frame incorporating fun and challenging activities. It will include a bespoke soft play and interactive area exclusive for toddlers.   The educational theme will run throughout the kids club,35000,Clare
other,24.06.2008,24.06.2009,Aerowind/ Capital Grants,"Aerowind_x000D_-This company winds, tests and assembles electric motors. It relates to the aviation industry.",28872,Clare
other,11.12.2007,11.12.2008,Kennedy Print/ Capital,"Kennedy Print_x000D_-This project involves English language correction for non native English speaking authors and editors publishing in the scientific, technical and medical publishing market. The facility will also offer individuals or organisations the facility to publish their own work consisting of a fully integrated service from acceptance to manuscript and graphics to the delivery of the finished product.",9048,Clare
other,13.05.2008,13.05.2009,Geon Engineering/ Capital Grant,"Geon Engineering_x000D_-This business manufactures, refurbishes and maintains production machinery. The market would be the machine tool industry, aviation industry, generation production industry and control and automation. ",27610,Clare
other,16.09.2008,16.09.2009,Paul Barrett/ Capital Grant,Paul Barrett_x000D_-This business manufactures religious plaques and ornaments specifically for grave yards. ,15000,Clare
other,24.06.2008,24.06.2009,Munster Precision/ Capital,Munster Precision_x000D_-This company manufactures and fabricates light engineering and powder coating for the home market and export. ,4800,Clare
other,28.10.2008,28.10.2009,Bunratty Cookery School - Capital,"Cookery School - Capital Grant_x000D_-This project refers to the creation of a cookery school. The school will be in the local, national and international markets utilising the proximity to Shannon Airport",14000,Clare
other,28.02.2008,28.02.2009,Burren Falconry - Capital,"Burren Falconry - Capital_x000D_-This business relates to falconry business. It also encompasses hawk walks, falconry lessons, falconry courses, hunting days and corporate days along with education on all levels on the Burren habitat, avian biology, environmental awareness and disease control",10774,Clare
other,09.12.2008,09.12.2009,Brenda Heuston - Capital,Brenda Heuston - Capital_x000D_-This business consists of a mobile chiropody clinic for those who find it difficult or impossible to travel for this treatment. The service being proved is unique in the sense that it offers a service to people who are house bound and who cannot travel to avail of the service.,2340,Clare
other,09.12.2008,09.12.2009,Obego Lifeslim,Obego Lifeslim - Capital_x000D_-This business refers to a formula diet which is in powder form. At present all similar products are imported.,30000,Clare
other,24.06.2009,24.06.2010,Shannon Cryotherapy - Capital,Shannon Cryotherapy - Capital_x000D_-The promoters have set up a clinic in Ennis targeting the treatment of sports injuries and also persons suffering from arthritis and other physical complaints. Cryotherapy is the use of cold applications for therapeutic purposes.,45000,Clare
other,28.10.2008,28.10.2010,Live Maths - Sean Murphy - Capital,"Live Maths - Capital_x000D_-This business is involved in live online teaching, giving grinds in maths, applied maths and physics to secondary school students in Ireland to all levels up to Leaving Cert honours. Core service will be an online virtual classroom based on state of the art conferencing software",3406,Clare
other,29.04.2009,29.04.2010,Eoghan O'Loughlin - Capital,Eoghan O'Loughlin - Capital_x000D_-This business involves an embroidery service on all types of leisre wear and clothing in Miltown Malbay area.,20000,Clare
other,17.06.2009,17.06.2010,Cup Print - Capital,Cup Print - Capital_x000D_-Manufacturer of printed paper cups for the catering disposable market especially the Coffee to Go outlets.,101550,Clare
