lau1,name
1423,przysuski
1412,miński
1413,mławski
1424,pułtuski
1464,Siedlce
1425,radomski
1426,siedlecki
1427,sierpecki
1429,sokołowski
1428,sochaczewski
1430,szydłowiecki
1432,warszawski zachodni
1433,węgrowski
1462,Płock
1401,białobrzeski
1402,ciechanowski
1403,garwoliński
1404,gostyniński
1405,grodziski
1406,grójecki
1407,kozienicki
1436,zwoleński
1408,legionowski
1409,lipski
1434,wołomiński
1435,wyszkowski
1437,żuromiński
1607,nyski
1608,oleski
1611,strzelecki
1661,Opole
1602,głubczycki
1605,krapkowicki
1601,brzeski
1606,namysłowski
1610,prudnicki
1603,kędzierzyńsko-kozielski
1604,kluczborski
1609,opolski
1812,niżański
1813,przemyski
1814,przeworski
1815,ropczycko-sędziszowski
1816,rzeszowski
1818,stalowowolski
1819,strzyżowski
1820,tarnobrzeski
1821,leski
1861,Krosno
1863,Rzeszów
1862,Przemyśl
1864,Tarnobrzeg
1802,brzozowski
1801,bieszczadzki
1803,dębicki
1804,jarosławski
1806,kolbuszowski
1805,jasielski
1807,krośnieński
1808,leżajski
1809,lubaczowski
1810,łańcucki
1811,mielecki
1817,sanocki
2001,augustowski
2002,białostocki
2009,sejneński
2008,moniecki
2013,wysokomazowiecki
2063,Suwałki
2011,sokólski
2014,zambrowski
2061,Białystok
2005,hajnowski
2010,siemiatycki
2003,bielski
2006,kolneński
2007,łomżyński
2062,Łomża
2004,grajewski
2012,suwalski
2211,pucki
2212,słupski
2215,wejherowski
2216,sztumski
2264,Sopot
2202,chojnicki
2261,Gdańsk
2203,człuchowski
2262,Gdynia
2207,kwidzyński
2263,Słupsk
2213,starogardzki
2214,tczewski
2205,kartuski
2209,malborski
2210,nowodworski
2201,bytowski
2204,gdański
2208,lęborski
2206,kościerski
2475,Sosnowiec
2406,kłobucki
2405,gliwicki
2407,lubliniecki
2408,mikołowski
2409,myszkowski
2474,Siemianowice Śląskie
2410,pszczyński
2476,Świętochłowice
2411,raciborski
2477,Tychy
2412,rybnicki
2478,Zabrze
2479,Żory
2413,tarnogórski
2414,bieruńsko-lędziński
2402,bielski
2401,będziński
2415,wodzisławski
2416,zawierciański
2403,cieszyński
2472,Ruda Śląska
2417,żywiecki
2467,Jastrzębie-Zdrój
2463,Chorzów
2461,Bielsko-Biała
2462,Bytom
2404,częstochowski
2465,Dąbrowa Górnicza
2464,Częstochowa
2466,Gliwice
2471,Piekary Śląskie
2469,Katowice
2468,Jaworzno
2470,Mysłowice
2473,Rybnik
2613,włoszczowski
2608,pińczowski
2609,sandomierski
2603,kazimierski
2661,Kielce
2604,kielecki
2611,starachowicki
2601,buski
2612,staszowski
2605,konecki
2606,opatowski
2602,jędrzejowski
2607,ostrowiecki
2610,skarżyski
2813,olecki
2814,olsztyński
2816,piski
2815,ostródzki
2817,szczycieński
2818,gołdapski
2819,węgorzewski
2861,Elbląg
2862,Olsztyn
2804,elbląski
2801,bartoszycki
2805,ełcki
2802,braniewski
2803,działdowski
2806,giżycki
2807,iławski
2808,kętrzyński
2809,lidzbarski
2810,mrągowski
2811,nidzicki
2812,nowomiejski
3008,kępiński
3009,kolski
3015,nowotomyski
3016,obornicki
3013,leszczyński
3014,międzychodzki
3010,koniński
3011,kościański
3019,pilski
3027,turecki
3028,wągrowiecki
3002,czarnkowsko-trzcianecki
3017,ostrowski
3021,poznański
3005,grodziski
3029,wolsztyński
3030,wrzesiński
3022,rawicki
3024,szamotulski
3031,złotowski
3012,krotoszyński
3023,słupecki
3064,Poznań
3003,gnieźnieński
3006,jarociński
3020,pleszewski
3007,kaliski
3025,średzki
3026,śremski
3061,Kalisz
3062,Konin
3001,chodzieski
3004,gostyński
3018,ostrzeszowski
3063,Leszno
3206,gryfiński
3211,policki
3208,kołobrzeski
3261,Koszalin
3262,Szczecin
3217,wałecki
3218,łobeski
3263,Świnoujście
3212,pyrzycki
3213,sławieński
3215,szczecinecki
3216,świdwiński
3214,stargardzki
3209,koszaliński
3201,białogardzki
3202,choszczeński
3204,goleniowski
3203,drawski
3205,gryficki
3207,kamieński
3210,myśliborski
