Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
Les Lacs de l'Eau d'Heure,Lac de la Plate Taille,"3.Welness, balnéothérapie",10/12/2015,"1.385.719,79","554.287,91","831.431,88","0,00","1.383.585,88","553.434,36","830.151,52","0,00",
Les Lacs de l'Eau d'Heure,Lac de la Plate Taille,4.Equipements polyvalents Golf et zone de sports,10/12/2015,"2.894.423,66","1.157.769,46","1.736.654,20","0,00","2.889.602,06","1.155.840,82","1.733.761,24","0,00",
Les Lacs de l'Eau d'Heure,Lac de la Plate Taille,"5.Réunion, séminaires, Mice",10/12/2015,"785.082,29","314.032,92","471.049,37","0,00","784.651,85","313.860,74","470.791,11","0,00",
Les Lacs de l'Eau d'Heure,Lac de l'Eau d'Heure,1.Cycle et Bike Park Badon Sports de pleine nature,10/12/2015,"1.187.964,56","475.185,82","712.778,74","0,00","1.061.713,02","424.685,20","637.027,82","0,00",
Les Lacs de l'Eau d'Heure,Lac de l'Eau d'Heure,2.Base Sport Nature & Aventure (Parc acrobatique Forestier),10/12/2015,"612.887,44","228.582,50","342.873,75","0,00","612.887,44","228.582,51","342.873,74","0,00",30/09/2015
"Fédération Wallonie-Bruxelles, Infrastructures culturelles","MONS, pôle de croissance : OBJECTIF 2015. n°6 Infrastructures culturelles",Arsonic,11/09/2008,"3.959.881,88","1.583.952,75","2.375.929,13","0,00","3.959.881,88","1.583.952,75","2.375.929,13","0,00",15/01/2015
"Fédération Wallonie-Bruxelles, Infrastructures culturelles","MONS, pôle de croissance : OBJECTIF 2015. n°6 Infrastructures culturelles","Le ""106""",11/09/2008,"2.969.911,41","1.187.964,56","1.781.946,85","0,00","2.969.911,41","1.187.964,56","1.781.946,85","0,00",03/09/2013
Office de Promotion du Tourisme de Wallonie et de Bruxelles ASBL (OPT),Structuration-qualification et promotion des filières touristiques de Wallonie,Promotion fédérée des filières touristiques,17/12/2015,"537.409,59","214.963,84","322.445,75","0,00","537.409,44","214.963,78","322.445,66","0,00",22/12/2015
Province de Hainaut,Revitalisation intégrée du coeur de ville de Tournai,1. Valorisation touristique de la cathédrale,17/12/2015,"913.103,29","365.241,32","456.551,64","91.310,33","889.259,01","355.703,60","444.629,51","88.925,90",
Régie communale autonome de la Ville de La Louvière,Entrée de Ville Ouest La Louvière,1 Réhabilitation Hall des expos,10/12/2015,"10.331.732,00","4.132.692,80","5.165.866,00","1.033.173,20","9.314.304,56","3.725.721,79","4.657.152,30","931.430,47",
SPW - DG01,Extension des centres économiques de Binche et aménagement des voiries d'accès.,RN55- Rue des Mineurs et RN 90 route de MOns,19/11/2015,"5.405.000,00","2.162.000,00","3.243.000,00","0,00","5.405.000,00","2.162.000,00","3.243.000,00","0,00",04/06/2012
SPW - DG01,Portefeuille d'actions portant sur la continuité du développement économique de la Ville de Thuin sur base d'un tourisme durable dans le cadre des fonds structurels européens,1 - Extension du Vicinal et Ravel,10/12/2015,"1.781.946,85","712.778,74","1.069.168,11","0,00","1.781.946,85","712.778,74","1.069.168,11","0,00",10/12/2012
SPW - DG01,Tremplin pour Péruwelz,Volet 1A Grand Place - Chaussée,02/07/2015,"635.714,98","254.285,99","381.428,99","0,00","635.714,98","254.286,00","381.428,98","0,00",21/08/2014
Ville de Binche,Attractivité et Développement du Centre Ville de Binche,Entrées de Ville et parking,10/12/2015,"844.951,85","337.980,74","422.475,93","84.495,18","843.653,54","337.461,39","421.826,79","84.365,36",
Ville de Binche,Attractivité et Développement du Centre Ville de Binche,Mise en conformité du Musée,10/12/2015,"791.976,38","316.790,55","395.988,19","79.197,64","791.976,38","316.790,53","395.988,20","79.197,65",14/06/2012
Ville de Binche,Attractivité et Développement du Centre Ville de Binche,Réfection du bâtiment et de la cour,10/12/2015,"531.495,57","212.598,23","265.747,78","53.149,56","527.896,79","211.158,71","263.948,40","52.789,68",
Ville de Charleroi,phenix,Projet 1 : Redynamisation de la Ville Basse,17/03/2016,"5.591.125,47","2.236.450,19","2.795.562,74","559.112,54","5.221.849,69","2.088.739,85","2.610.924,87","522.184,97",
Ville de Charleroi,phenix,Projet 2 : La passerelle végétale,17/03/2016,"3.109.562,21","1.243.824,88","1.554.781,10","310.956,23","2.907.738,21","1.163.095,26","1.453.869,13","290.773,82",
Ville de Charleroi,phenix,Projet 3 Aménagement de la Place de la Digue,17/03/2016,"12.632.997,47","5.053.198,99","6.316.498,73","1.263.299,75","9.997.050,40","3.998.820,13","4.998.525,22","999.705,05",
Ville de Charleroi,phenix,Projet 4 Aménagement des Quais de Sambre,17/03/2016,"13.476.359,19","5.390.543,68","6.738.179,59","1.347.635,92","11.317.546,82","4.527.018,72","5.658.773,42","1.131.754,68",
Ville de Charleroi,phenix,Projet 5 Porte des Arts,17/03/2016,"17.916.588,42","7.166.635,37","8.958.294,20","1.791.658,85","12.407.401,76","4.962.960,67","6.203.700,90","1.240.740,19",
Ville de Charleroi,phenix,Projet 6 Multimodale commerciale,17/03/2016,"6.066.235,84","2.426.494,33","3.033.117,92","606.623,59","4.609.843,77","1.843.937,49","2.304.921,89","460.984,39",
Ville de Chimay,Requalification urbaine du centre-ville de Chimay,Amélioration des Performances énergétiques,28/06/2012,"929.374,00","371.749,60","464.687,00","92.937,40","911.368,92","364.547,55","455.684,47","91.136,90",
Ville de Chimay,Requalification urbaine du centre-ville de Chimay,Aménagement de la Grand- Place et de son périmètre,28/06/2012,"2.905.087,00","1.162.034,80","1.452.543,50","290.508,70","2.880.745,79","1.152.298,30","1.440.372,91","288.074,58",
Ville de La Louvière,La Louvière - Extension du centre-ville: Boch Kéramis,2 - Acquisition des terrains,10/12/2015,"2.360.937,00","944.374,80","1.180.468,50","236.093,70","2.360.937,00","944.374,80","1.180.468,50","236.093,70",26/03/2008
Ville de La Louvière,La Louvière - Extension du centre-ville: Boch Kéramis,4 - Création de voiries publiques (rénov urb),10/12/2015,"7.628.389,03","3.051.355,61","3.814.194,52","762.838,90","7.440.342,45","2.976.136,95","3.720.171,24","744.034,26",
Ville de La Louvière,La Louvière - Extension du centre-ville: Boch Kéramis,7 - Dispositifs économes en énergie,10/12/2015,"1.985.521,97","784.916,54","1.002.142,20","175.232,62","1.985.521,97","784.916,54","1.002.142,20","175.232,62",28/05/2015
Ville de La Louvière,Plate-forme multimodale de Garocentre,4 - Création voirie d'accès et de délestage,17/12/2015,"1.200.008,00","480.003,20","600.004,00","120.000,80","1.146.146,56","458.458,61","573.073,29","114.614,66",
Ville de La Louvière,Rénovation urbaine du centre ville,1 - Aménagement de l'espace public,17/12/2015,"8.831.539,53","3.532.615,81","4.415.769,77","883.153,95","8.814.875,03","3.525.950,00","4.407.437,53","881.487,50",
Ville de La Louvière,Rénovation urbaine du centre ville,2 - Site Moulin Dambot : connexion de mobilité,17/12/2015,"265.705,95","106.282,38","132.852,97","26.570,60","265.705,95","106.282,37","132.852,98","26.570,60",2/10/2012
Ville de Lessines,Revitalisation et valorisation touristique du centre ville de Lessines,1.1. Restauration de l'Hôpital ND à la Rose,28/06/2012,"6.003.153,33","2.401.261,33","3.001.576,66","600.315,34","5.996.844,67","2.398.737,85","2.998.422,35","599.684,47",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place","10. Les expositions de ""prestige""",24/03/2016,"544.985,23","217.994,09","272.492,62","54.498,52","544.985,23","217.994,09","272.492,62","54.498,52",27/12/2013
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",11. Les voiries,24/03/2016,"2.886.659,55","1.154.663,83","1.443.329,77","288.665,95","2.805.751,25","1.122.300,47","1.402.875,65","280.575,13",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",12. Le traitement et coloris de façades,24/03/2016,"5.104.472,25","2.041.788,89","2.552.236,14","510.447,22","5.104.472,25","2.041.788,88","2.552.236,14","510.447,23",29/12/2015
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",16. L'Office d'informations tour. et cult. (CGT),24/03/2016,"3.949.000,73","1.579.600,29","1.974.500,38","394.900,06","3.949.000,73","1.579.600,27","1.974.500,39","394.900,07",21/12/2015
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",17. Les minières de Spiennes,24/03/2016,"3.568.247,46","1.427.298,98","1.784.123,73","356.824,75","3.558.915,13","1.423.566,03","1.779.457,58","355.891,52",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",3. Le Mont de Piété,24/03/2016,"3.830.593,99","1.518.600,68","1.929.002,53","348.898,51","3.830.467,18","1.518.550,41","1.928.938,67","348.886,95",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 1 : Au coeur de la Cité : l'espace Grand'Place",8. L'église Saint-Nicolas,24/03/2016,"7.729.006,79","3.091.602,72","3.864.503,38","772.900,69","7.719.155,48","3.087.662,16","3.859.577,76","771.915,56",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.","1. Le ""quartier de la gare"" (CGT)",24/03/2016,"3.172.033,10","1.268.813,25","1.586.016,55","317.203,30","3.172.033,10","1.268.813,23","1.586.016,56","317.203,31",29/12/2015
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.","1. Le ""quartier de la gare"" (volet DGPL)",24/03/2016,"5.266.248,83","2.106.499,54","2.633.124,40","526.624,89","5.205.624,49","2.082.249,78","2.602.812,26","520.562,45",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.",2. Le Centre de Congrès,24/03/2016,"34.114.616,59","13.428.877,67","17.272.893,91","2.870.422,60","34.114.616,59","13.428.877,67","17.272.893,91","2.870.422,61",29/12/2015
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.",7. La chap. de l'ancien couvent des Ursulines (CF) - Honoraires,24/03/2016,"854.177,77","341.671,11","340.788,83","171.717,83","854.177,77","341.671,10","332.039,26","180.467,41",29/12/2015
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.",7. La chap. de l'ancien couvent des Ursulines (DGATLP),24/03/2016,"5.887.426,19","2.354.970,47","2.943.713,09","588.742,63","5.886.963,82","2.354.785,50","2.943.481,93","588.696,39",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 2 : Le quartier de la gare et le centre d'Arts religieux.",7. La chap. de l'ancien couvent des Ursulines (CF) - Travaux,24/03/2016,"4.298.010,24","1.719.204,09","2.149.005,12","429.801,03","4.297.605,61","1.719.042,24","2.148.802,81","429.760,56",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 3. Le quartier des Arts et de l'artisanat de création",2. Le réaménagement global des voiries (DGPL),24/03/2016,"5.943.458,12","2.377.383,25","2.971.729,05","594.345,82","5.863.232,24","2.345.292,88","2.931.616,13","586.323,23",
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 3. Le quartier des Arts et de l'artisanat de création",3. Le jardin de la Grande Pêcherie,24/03/2016,"333.038,35","133.215,34","166.519,18","33.303,83","333.038,35","133.215,32","166.519,19","33.303,84",15/01/2013
Ville de Mouscron,Etude de faisabilité et implantation pédagogique de capteurs thermiques et photovoltaïques sur les bâtiments communaux,énergie renouvelable,28/06/2012,"673.000,00","269.200,00","336.500,00","67.300,00","668.044,06","267.217,62","334.022,04","66.804,40",
Ville de Thuin,Portefeuille d'actions portant sur la continuité du développement économique de la Ville de Thuin sur base d'un tourisme durable dans le cadre des fonds structurels européens,2 - Jardins suspendus,10/12/2015,"1.090.117,81","436.047,12","545.058,91","109.011,78","849.712,08","339.884,81","424.856,05","84.971,22",
Ville de Thuin,"Projet didactique de promotion des énergies renouvelables (énergie solaire) dans les bâtiments publics de Thuin, Lobbes et Merbes-le-Château",Projet didactique énergie renouvelable Thuin,04/02/2016,"707.401,79","204.297,64","306.446,45","0,00","707.401,79","204.297,64","306.446,46","0,00",06/02/2015
Ville de Tournai,Revitalisation intégrée du coeur de ville de Tournai,2. Valorisation touristique du quartier cathédral,17/12/2015,"27.069.042,12","10.827.616,85","13.534.521,06","2.706.904,21","26.449.764,38","10.579.905,73","13.224.882,21","2.644.976,44",
Ville de Tournai,Revitalisation intégrée du coeur de ville de Tournai,3. Embellissement des perspectives urbaines,17/12/2015,"4.520.086,64","1.808.034,66","2.260.043,31","452.008,67","4.441.622,34","1.776.648,91","2.220.811,19","444.162,24",
