Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
CRIBC,Revêtements Fonctionnels,LASESURF A,12/06/2014,"1.624.431,00","487.329,30","730.993,95","406.107,75","1.610.336,96","483.101,07","724.651,64","402.584,25",
CRIBC,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Acquisition équipement exceptionnel - EQUIDER,12/11/2015,"1.868.994,28","747.597,72","1.121.396,56","0,00","1.859.494,84","743.797,93","1.115.696,91","0,00",
CRIBC,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en partenariat - CERAPIDE,12/11/2015,"1.126.847,00","338.054,10","507.081,15","281.711,75","1.123.334,29","337.000,29","505.500,43","280.833,57",
CRIBC,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Optimalisation de l'offre technologique,12/11/2015,"431.695,24","172.678,09","259.017,15","0,00","427.452,81","170.981,14","256.471,67","0,00",30/06/2015
CENTRE TERRE ET PIERRE,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération d'ordures ménagères (REFIOM),Application matériau des REFIOM (CTP),18/07/2013,"232.096,30","92.838,52","81.233,70","58.024,08","228.904,73","91.561,87","80.116,67","57.226,19",
CENTRE TERRE ET PIERRE,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération d'ordures ménagères (REFIOM),Traitement des REFIOM (CTP),18/07/2013,"1.617.261,32","646.904,53","566.041,46","404.315,33","1.580.217,65","632.087,05","553.076,18","395.054,42",
CENTRE TERRE ET PIERRE,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération d'ordures ménagères (REFIOM),Valorisation des REFIOM (CTP),18/07/2013,"229.676,40","91.870,56","137.805,84","0,00","224.133,72","89.653,50","134.480,22","0,00",
CENTRE TERRE ET PIERRE,Solindus (SOLutions Intégrées et Durables pour Sédiments et matières assimilées),Plateforme SOLINDUS (CTP) - équipements,17/12/2015,"7.808.892,70","3.117.934,68","4.676.902,01","0,00","7.635.914,64","3.048.868,00","4.573.302,00","0,00",
CENTRE TERRE ET PIERRE,Solindus (SOLutions Intégrées et Durables pour Sédiments et matières assimilées),Plateforme Solindus (CTP) - Recherche,17/12/2015,"2.593.972,45","778.191,74","1.167.287,58","648.493,13","2.420.148,15","726.044,42","1.089.066,67","605.037,06",
CENTRE TERRE ET PIERRE,Solindus (SOLutions Intégrées et Durables pour Sédiments et matières assimilées),Valorisation par la voie matériaux (CTP),17/12/2015,"697.282,40","278.912,95","418.369,45","0,00","693.045,58","277.218,22","415.827,36","0,00",
CENTRE TERRE ET PIERRE,TECHNOPOLY,Recyclage B,17/12/2015,"2.313.361,01","689.844,25","1.034.766,37","574.870,23","2.297.264,75","685.044,32","1.027.566,53","570.870,31",
CENTRE TERRE ET PIERRE,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en partenariat - CERAPIDE,12/11/2015,"761.411,80","228.423,55","342.635,29","190.352,96","730.767,15","219.230,13","328.845,23","182.691,79",
CENTRE TERRE ET PIERRE,ValSolindus,Mise en conformité des outils,08/10/2015,"291.855,00","116.742,00","102.149,24","72.963,76","255.284,55","102.113,80","89.349,60","63.821,15",
UCL Mons,Mediatic,FUCAM _PF 3_TRACEMEDIA,29/10/2015,"699.176,67","279.670,68","419.505,99","0,00","612.186,29","244.874,52","367.311,77","0,00",
ImmuneHealth,eHealth-Les TIC au service des patients,ImmuneHealth/Recherche_e Health,23/04/2009,"216.163,56","86.465,43","75.657,24","54.040,89","118.885,34","47.554,14","41.609,87","29.721,33",
ImmuneHealth,Portefeuille - Immunomarqueurs,IM-PCF - Plateforme de cytomérie de Flux,22/10/2015,"1.751.272,49","700.509,00","1.050.763,49","0,00","1.649.361,61","659.744,65","989.616,96","0,00",
ImmuneHealth,Portefeuille - Immunomarqueurs,IM-TGD (BIOV) - Biomarqueurs de l'activité des lymphocytes T gammadelta,22/10/2015,"772.379,30","231.713,79","347.570,68","193.094,83","729.134,80","218.740,42","328.110,67","182.283,71",
ImmuneHealth,Portefeuille - Immunomarqueurs,IM-INF (BIOV) - Biomarqueurs des infections bactériennes sévères du nourisson,22/10/2015,"1.926.408,30","577.922,49","866.883,73","481.602,08","1.910.262,75","573.078,81","859.618,24","477.565,70",
ImmuneHealth,Portefeuille - Immunomarqueurs,IM-THB (BIOV) - Biomarqueurs des lymphocytes ThB,22/10/2015,"1.249.710,08","374.913,02","562.369,52","312.427,54","1.219.503,85","365.851,11","548.776,75","304.875,99",
ImmuneHealth,Portefeuille - Immunomarqueurs,Axe2 - Mesure 2.2.4 - Promotion du centre et optimalisation de l'offre technologique,22/10/2015,"1.045.000,00","418.000,00","627.000,00","0,00","1.026.708,61","410.683,46","616.025,15","0,00",
ImmuneHealth,Portefeuille - Immunomarqueurs,IM-CMV (BIOV) - Biomarqueurs de la transmission mère-enfant du cytomegalovirus,22/10/2015,"1.275.174,40","382.552,33","573.828,45","318.793,62","1.246.465,56","373.939,66","560.909,50","311.616,40",
INISMa,Revêtements Fonctionnels,CLEARZINC B,12/06/2014,"785.198,89","235.559,67","353.339,49","196.299,73","763.586,35","229.075,89","343.613,86","190.896,60",
INISMa,Solindus (SOLutions Intégrées et Durables pour Sédiments et matières assimilées),Valorisation par la voie matériaux (INISMa),17/12/2015,"257.492,11","102.996,84","154.495,27","0,00","257.476,79","102.990,72","154.486,07","0,00",
INISMa,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en partenariat - MORECAR,12/11/2015,"1.227.247,64","366.959,33","550.438,97","305.799,43","1.227.202,43","366.945,78","550.418,70","305.788,18",31/03/2015
INISMa,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Optimalisation de l'offre technologique,12/11/2015,"158.193,00","63.277,20","94.915,80","0,00","155.865,43","62.346,17","93.519,26","0,00",
Institut Scientifique des Services Publics (ISSeP),ValSolindus,Développement d'un protocole de validation enrivonnementale,08/10/2015,"930.136,20","372.054,48","558.081,72","0,00","894.325,25","357.730,10","536.595,15","0,00",
Institut Scientifique des Services Publics (ISSeP),Solindus (SOLutions Intégrées et Durables pour,Développement et gestion (ISSEP) - Recherche,17/12/2015,"796.001,99","318.400,79","477.601,20","0,00","791.604,80","316.641,92","474.962,88","0,00",
MATERIA NOVA,Piμi - 2 (Plateforme d'Intégration en Microsystemes Intelligents),REMANOS.MATERIANOVA,04/12/2014,"405.832,50","162.333,00","243.499,50","0,00","405.824,09","162.329,64","243.494,45","0,00",31/12/2015
MATERIA NOVA,Revêtements Fonctionnels,CLEARZINC A,12/06/2014,"807.046,60","322.818,64","484.227,96","0,00","807.036,97","322.814,79","484.222,18","0,00",31/12/2015
MATERIA NOVA,Revêtements Fonctionnels,EVERWALL MN,12/06/2014,"1.556.428,57","622.571,43","933.857,14","0,00","1.556.387,15","622.554,86","933.832,29","0,00",31/12/2015
MATERIA NOVA,Revêtements Fonctionnels,SMARTFILM A,12/06/2014,"1.511.950,00","604.780,00","907.170,00","0,00","1.511.935,50","604.774,19","907.161,31","0,00",30/12/2015
MATERIA NOVA,Revêtements Fonctionnels,SURFACE A,12/06/2014,"949.472,81","375.117,73","562.676,57","0,00","949.398,14","375.088,22","562.632,33","0,00",30/09/2015
MATERIA NOVA,Revêtements Fonctionnels,VALOMAT,12/06/2014,"430.291,43","172.116,57","258.174,86","0,00","430.258,24","172.103,32","258.154,92","0,00",30/09/2015
MATERIA NOVA,SINOPLISS,BIOTISS NATISS,10/12/2015,"3.491.066,27","1.396.426,52","2.094.639,75","0,00","3.479.575,58","1.391.830,23","2.087.745,35","0,00",
MATERIA NOVA,SINOPLISS,EXTRUDISS NATISS,10/12/2015,"1.954.368,64","781.747,44","1.172.621,20","0,00","1.951.034,97","780.413,98","1.170.620,99","0,00",
MATERIA NOVA,SINOPLISS,POLYTISS NATISS,10/12/2015,"3.639.385,02","1.455.754,00","2.183.631,02","0,00","3.623.174,79","1.449.269,92","2.173.904,87","0,00",
MATERIA NOVA,SINOPLISS,VALORISS NATISS,10/12/2015,"1.062.019,40","424.807,76","637.211,64","0,00","1.058.468,24","423.387,29","635.080,95","0,00",
MATERIA NOVA,TECHNOPOLY,Equipements exceptionnels B,17/12/2015,"704.204,44","281.653,61","422.480,40","0,00","704.204,44","281.653,60","422.480,42","0,00",31/12/2012
Multitel,CILAB - Composite innovation Laboratory,Multitel - Equipement,22/10/2015,"1.016.967,50","406.787,00","610.180,50","0,00","1.016.886,96","406.754,77","610.132,19","0,00",31/12/2015
Multitel,CILAB - Composite innovation Laboratory,Multitel - Recherche,22/10/2015,"232.015,32","92.806,12","81.205,37","58.003,83","232.010,34","92.804,13","81.203,62","58.002,59",30/06/2014
Multitel,CILAB - Composite innovation Laboratory,Multitel - Valorisation,22/10/2015,"40.613,68","16.245,47","24.368,21","0,00","40.248,58","16.099,43","24.149,15","0,00",
Multitel,Implantation d'une Plate- forme MICRO-SOUDAGE en Wallonie,NDT Laser - Multitel,22/10/2015,"271.062,14","108.424,86","94.871,75","67.765,53","271.062,14","108.424,85","94.871,76","67.765,53",30/06/2014
Multitel,Mediatic,Plateforme4_INTERMEDIA,29/10/2015,"970.696,03","269.973,87","458.087,79","236.130,71","950.003,69","264.218,81","448.322,74","231.097,12",
Multitel,Mediatic,Plateforme1_TRANSMEDIA,29/10/2015,"646.788,61","205.420,05","279.692,27","156.825,38","570.571,80","181.213,60","246.733,66","138.345,26",
Multitel,Mediatic,Plateforme3_TRACEMEDIA,29/10/2015,"5.476.680,96","2.190.672,40","3.286.008,56","0,00","3.420.728,94","1.368.291,58","2.052.437,36","0,00",
Multitel,Mediatic,Plateforme2_ENVIMEDIA,29/10/2015,"808.123,91","242.437,18","363.655,75","202.030,98","773.078,84","231.923,64","347.885,48","193.269,72",
Multitel,Mediatic,Plateforme3_TRACEMEDIA,29/10/2015,"1.167.489,36","347.725,03","527.846,60","283.511,80","1.159.171,19","345.247,54","524.085,79","281.491,83",
Multitel,Mediatic,Plateforme5_3DMEDIA,29/10/2015,"451.543,09","124.662,02","213.988,79","91.218,21","382.048,77","105.476,03","181.055,06","77.179,34",
Multitel,Mediatic,OPTIMEDIA,29/10/2015,"1.551.187,96","620.475,18","930.712,78","0,00","1.550.131,82","620.052,73","930.079,09","0,00",
Multitel,Portefeuille TIC,Multitel/Recherche_TIC,12/06/2014,"600.000,00","180.000,01","269.999,98","150.000,01","408.768,43","119.406,63","176.423,32","102.192,11",
Sirris,Plateforme Biomanufacturing,2.2.1.a - Installation équipements exceptionnels,23/03/2012,"1.424.592,00","553.083,61","829.625,38","0,00","1.388.655,63","539.131,67","808.697,50","0,00",
Sirris,Plateforme Biomanufacturing,2.2.2 h - Prototype de validation d'intégration des différents éléments,23/03/2012,"162.300,00","48.690,00","73.035,00","40.575,00","138.626,13","41.587,83","62.381,76","34.656,54",
ULB,Etablissement de filières de valorisation pérennes pour les résidus d'épuration des fumées d'incinération d'ordures ménagères (REFIOM),Traitement des REFIOM (ULB-campus Parentville),18/07/2013,"15.667,93","6.267,17","9.400,76","0,00","15.667,93","6.267,17","9.400,76","0,00",28/12/2010
ULB,Hainaut-Biomed,Centre d'Imagerie-ULB,04/02/2016,"7.715.368,35","3.086.147,34","4.629.221,01","0,00","7.578.042,21","3.031.216,89","4.546.825,32","0,00",
ULB,Hainaut-Biomed,CIMAGE,04/02/2016,"4.758.951,00","1.903.580,40","2.855.370,60","0,00","4.701.722,12","1.880.688,86","2.821.033,26","0,00",
ULB,Hainaut-Biomed,Projet OCPAM,04/02/2016,"658.858,00","263.543,20","395.314,80","0,00","642.782,90","257.113,15","385.669,75","0,00",
ULB,Hainaut-Biomed,Projet 'PSEUDART,04/02/2016,"1.567.394,49","626.957,80","940.436,69","0,00","1.525.279,90","610.111,96","915.167,94","0,00",
ULB,Portefeuille - Immunomarqueurs,Axe 2 Mesure 2.2.2 - Volet 1 - IM-THB (ULB - IBMM),22/10/2015,"865.008,70","346.003,48","519.005,22","0,00","832.817,37","333.126,95","499.690,42","0,00",
ULB,Portefeuille - Immunomarqueurs,IM-TGD (ULB) - Biomarqueurs de l'activité des lymphocytes T gammadelta,22/10/2015,"377.116,14","150.846,45","226.269,69","0,00","359.602,10","143.840,83","215.761,27","0,00",
ULB,Portefeuille - Immunomarqueurs,IM-THB (ULB - IMI) - Biomarqueurs des lymphocytes ThB,22/10/2015,"558.453,74","223.381,50","335.072,24","0,00","543.531,22","217.412,48","326.118,74","0,00",
ULB,Portefeuille TIC,Recherche_TIC,12/06/2014,"266.800,00","106.720,00","160.080,00","0,00","249.643,05","99.857,22","149.785,83","0,00",
ULB,Revêtements Fonctionnels,CLEARZINC C,12/06/2014,"233.140,80","93.256,32","139.884,48","0,00","206.366,14","82.546,46","123.819,68","0,00",
ULB,Revêtements Fonctionnels,EVERWALL ULB,12/06/2014,"1.193.935,00","477.574,00","716.361,00","0,00","1.038.014,87","415.205,96","622.808,91","0,00",
ULB,Revêtements Fonctionnels,SMARTFILM B,12/06/2014,"499.021,00","199.608,40","299.412,60","0,00","460.065,69","184.026,27","276.039,42","0,00",
ULB,SINOPLISS,BIOTISS ULB,10/12/2015,"569.666,25","227.866,50","341.799,75","0,00","561.903,16","224.761,26","337.141,90","0,00",
ULB,SINUS: Simulation Numérique Haute Performance,Recherche,17/12/2015,"98.145,10","39.258,05","58.887,05","0,00","98.135,75","39.254,31","58.881,44","0,00",13/02/2012
UMONS,Hainaut-Biomed,OPCAM-UMONS,04/02/2016,"969.453,52","387.781,40","581.672,12","0,00","968.441,24","387.376,50","581.064,74","0,00",
UMONS,Mediatic,Plateforme1_TRANSMEDIA,29/10/2015,"490.600,00","196.240,00","294.360,00","0,00","464.364,21","185.745,67","278.618,54","0,00",
UMONS,Mediatic,Plateforme3_TRACEMEDIA,29/10/2015,"497.670,00","199.068,00","298.602,00","0,00","488.150,36","195.260,14","292.890,22","0,00",
UMONS,Mediatic,Plateforme2_ENVIMEDIA,29/10/2015,"1.005.229,44","402.091,78","603.137,66","0,00","876.757,31","350.702,93","526.054,38","0,00",
UMONS,Mediatic,Plateforme4_INTERMEDIA,29/10/2015,"1.394.870,12","557.948,05","836.922,07","0,00","1.353.574,43","541.429,77","812.144,66","0,00",
UMONS,Mediatic,Plateforme5_3MEDIA,29/10/2015,"1.512.181,98","604.872,79","907.309,19","0,00","1.485.118,94","594.047,57","891.071,37","0,00",
UMONS,Plateforme Biomanufacturing,2.2.2 g - Développement de la motorisation,23/03/2012,"229.318,00","91.727,20","137.590,80","0,00","218.254,65","87.301,86","130.952,79","0,00",
UMONS,Plateforme Biomanufacturing,2.2.2 f - Mise au point interface,23/03/2012,"236.600,00","94.640,00","141.960,00","0,00","223.239,68","89.295,88","133.943,80","0,00",
UMONS,Portefeuille TIC UMONS,Recherche_TIC,12/06/2014,"216.400,00","86.560,00","129.840,00","0,00","200.012,78","80.005,12","120.007,66","0,00",
UMONS,Revêtements Fonctionnels,CLEARZINC D,12/06/2014,"408.292,40","163.316,96","244.975,44","0,00","402.514,62","161.005,85","241.508,77","0,00",
UMONS,Revêtements Fonctionnels,LASESURF B,12/06/2014,"576.700,00","230.680,00","346.020,00","0,00","555.777,27","222.310,91","333.466,36","0,00",
UMONS,SINUS: Simulation Numérique Haute Performance,UMONS-Recherche,17/12/2015,"100.578,87","40.231,54","60.347,33","0,00","100.578,87","40.231,55","60.347,32","0,00",31/12/2014
UMONS,"T-REX : pôle Technologique, de REcherche et d'EXpertise en matériaux inorganiques",Recherche en partenariat - CERAPIDE,12/11/2015,"301.990,47","120.796,20","181.194,27","0,00","301.968,15","120.787,27","181.180,88","0,00",30/06/2015
UMONS,ValSolindus,Evaluation des risques pour les eaux souterraines,08/10/2015,"347.053,80","138.821,52","208.232,28","0,00","343.228,45","137.291,37","205.937,08","0,00",
UMONS,Hainaut-Biomed,Centre d'imagerie-UMONS,04/02/2016,"2.802.934,10","1.121.173,63","1.681.760,47","0,00","2.795.752,74","1.118.301,10","1.677.451,64","0,00",
UMONS,Piμi - 2 (Plateforme d'Intégration en Microsystemes Intelligents),REMANOS.UMONS,04/12/2014,"394.891,75","157.956,70","236.935,05","0,00","353.683,34","141.473,33","212.210,01","0,00",
UMONS,Plateforme Biomanufacturing,"2.2.2a - Mise au point d'une approche ""Interface cerveau- machine""",23/03/2012,"480.548,00","192.219,20","288.328,80","0,00","479.714,15","191.885,66","287.828,49","0,00",
UMONS,Portefeuille - Immunomarqueurs,IM-CMV (UMONS) - Biomarqueurs de la transmission mère-enfant du cytomegalovirus,22/10/2015,"126.058,42","50.423,37","75.635,05","0,00","122.791,51","49.116,59","73.674,92","0,00",
UMONS,Portefeuille - Immunomarqueurs,IM-INF(UMONS) - Biomarqueurs des infections bactériennes sévères du nourisson,22/10/2015,"356.868,70","142.747,48","214.121,22","0,00","350.597,72","140.239,09","210.358,63","0,00",
UMONS,Portefeuille - Immunomarqueurs,IM-THB (UMONS) - Biomarqueurs des lymphocytes ThB,22/10/2015,"192.816,39","77.126,56","115.689,83","0,00","133.525,53","53.410,22","80.115,31","0,00",
UMONS,Portefeuille TIC,UMH/Recherche_TIC,12/06/2014,"334.700,00","133.880,00","200.820,00","0,00","271.378,69","108.551,48","162.827,21","0,00",
UMONS,Revêtements Fonctionnels,EVERWALL UMONS,12/06/2014,"1.274.245,00","509.698,00","764.547,00","0,00","1.272.951,85","509.180,73","763.771,12","0,00",
UMONS,Revêtements Fonctionnels,LASESURF C,12/06/2014,"429.500,00","171.800,00","257.700,00","0,00","429.475,00","171.790,01","257.684,99","0,00",28/04/2015
UMONS,Revêtements Fonctionnels,SMARTFILM C,12/06/2014,"1.642.205,00","656.882,00","985.323,00","0,00","1.541.382,66","616.553,06","924.829,60","0,00",
UMONS,Revêtements Fonctionnels,SURFACE B,12/06/2014,"724.650,00","284.787,45","427.181,18","0,00","724.615,92","284.774,04","427.161,09","0,00",05/05/2015
UMONS,SINOPLISS,POLYTISS UMONS,10/12/2015,"715.711,80","286.284,72","429.427,08","0,00","702.856,61","281.142,64","421.713,97","0,00",
