project_ref_code,project_title,beneficiary,project_cost,ministry,start_date,end_date,project_description,operational_programme,fund_acronym,operational_objective,priority_axis,focus_area,project_objectives,project_results,project_purpose
ERDF 309,"Strengthening of the Organic, Inorganic, Physical Chemistry Facilities",University of Malta,649623,Ministry for Education and Employment,2013,2015,"Equipment bought through the project will serve for undergraduate and post-graduate research and research training in the fields of organic, inorganic and physical Chemistry. This is now assisting local academic chemists to collaborate with the emerging pharmaceutical industry and international colleagues.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To undertake a number of smart investments in the knowledge infrastructure and research capacity in higher education;,PA1 Enhancing Knowledge and Innovation,OPIPA1 Investment in RTDI and RTDi-related Infrastructure and ICT,"With regard to its programmes, the Department of Chemistry is seeking accreditation for its degree programmes and also seeking to become a centre of chemical research. The intention is to be in a position to:• Attract students, especially postgraduate students into the area of Chemistry; • Raise the profile of the University of Malta in this important scientific discipline through excellence in academic research and teaching;• Collaborate with other research colleagues both in other (even overseas) institutions and industrial partners in existing as well as novel areas of research such as nanotechnology and supramolecular chemistry;• Produce highly trained graduate researchers for the local chemical industry such as the pharmaceutical and biochemical industry.Two of the instruments required by the Department of Chemistry: the NMR spectrometer and the GFAAS Spectrometer are essential for a university degree programme in chemistry. In terms of research output, the two instruments mentioned above will also be used in research as will the light scattering instrument which is essential in achieving the strengthening the capability for research in the areas of nanotechnology and supramolecular chemistry. Through this project the Department of Chemistry is seeking to be in a position to participate in research funding programmes such as Horizon 2020. The increasing research activity by the Department of Chemistry is also intended to result in increasing number of post-graduate students in the Department and to increase the number of publications in peer reviewed journals and representations at international conferences.","The procured instrumentation for use in our research laboratories will result in the following within a year of termination of the project: • the creation of two new study modules within the undergraduate and/or postgraduate programmes of the Department of Chemistry, • an increase in collaborative research with other research centres both within the University of Malta and externally (5 cooperative projects).",
ERDF 310,Expanding the Physics and applied interdisciplinary research capabilities at the Faculty of Science,University of Malta,1622545,Ministry for Education and Employment,2013,2015,"This project involved the setting up of four new research laboratories and the purchase of equipment and measurement instruments, to enhance and expand the capabilities of the existing Electromagnetics Laboratory to meet increasing research demands, and to increase collaboration with industry, the Ministry for Health, the Elderly and Community Care and the Occupational Health and Safety Authority.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To undertake a number of smart investments in the knowledge infrastructure and research capacity in higher education;,PA1 Enhancing Knowledge and Innovation,OPIPA1 Investment in RTDI and RTDi-related Infrastructure and ICT,"The project objectives are to improve existing facilities and to set up new ones in the growing areas of research within the Department of Physics, thereby improving and expanding the infrastructure of higher education. The facilities have been conceived in order to allow the Department to expand its current areas of interest, emphasising interdsiciplinarity, to the extent that it would be possible to carry out joint research projects with other entities. In particular, the ultra-wideband and optics laboratories will be able to conduct research in current areas of expansion of ICT hardware. Furthermore, the Ultra-Wideband and Electromagnetics Laboratories will together be also investigating cutting edge applications for health related issues. An indoor-outdoor monitoring and modelling facility will obtain data related to the current ventilation practices that can lead to more energy efficient buildings while the Geophysics Laboratory will gather data on the geological stability of the Maltese archipelago that can be used to assess the security of buildings in response to earthquakes, thus helping in the preservation of the built heritage and environment. Such research can potentially lead to the development of end products and techniques that can attract the manufacturing and construction industry. The research results will be published in peer-reviewed scientific journals and presented at scientific conferences. The general public will be informed of the activities carried out by staff and students in these laboratories through periodic press releases coinciding with periodic University events, such as Open University Week, and occasional public seminars that have now become commonplace in the Department of Physics calendar.The new facilities, together with the existing ones established in previous ERDF projects, will equip the Department of Physics and the Faculty of Science to an extent that its participation in Horizon 2020 project would become desirable from the point of view of potential collaborators. Indeed, every effort is being and will be made to enhance participation in collaborative projects. This will be enhanced significantly through participation in COST Actions related to the research interests and activities of the department.","Air quality Lab:• Publication in international refereed journals of at least two papers on indoor air by 2017.• Updating the radon (a radioactive gas) distribution map of the Maltese Islands by 2017.Geophysics Lab:• Creation of a data set of elastic properties of shallow rocks in the Maltese islands. This will form part of Malta’s eventual geological survey. This activity will commence by 2016 and will be ongoing.• Generation of earthquake ground motion scenarios using locally acquired data as a result of the project.• Publication of at least two papers in peer-reviewed journals by 2017.• Offering postgraduate degrees by research that will utilise the equipment procured. EM Lab:• Publication in international refereed journals of at least two papers on measurement and calculation of EM fields in the environment and/or at work places, and on the dielectric properties of biological tissues by 2017.• Provision of expertise and support to OHSA concerning compliance with Directive 2013/35/EU.• Design of a new short course intended for industry on compliance with the new directive by end 2015.• A study on static and radio frequency emissions from MRI machines in Malta by 2017.• A study of near field emissions from mobile phone base station antennas by 2017.• Offering postgraduate degrees by research that will utilise the equipment procured.UWB Lab: • The creation of three new study modules in the Physics undergraduate degree and postgraduate research in Wideband Communications.• Publication of at least two papers in peer-reviewed journals in the fields of ICT and health by 2017.• Report on the study of indoor wireless networking architectures by 2017.• An UWB demonstration system in the laboratory showing the capabilities of ultra-wideband communications• Offering postgraduate degrees by research that will utilise the equipment procured.Optics Lab:• Publication of at least two papers in peer-reviewed journals in the fields of advanced optics and laser manipulation of matter at the micrometre scale by 2017.• The creation of a new study module on advanced optics and applications in fundamental physics.• Offering postgraduate degrees by research that will utilise the equipment procured.",
ERDF 311,National Interactive Science Centre (NISC),The Malta Council for Science and Technology (MCST),13551034,Ministry for Education and Employment,2013,2015,"The NISC provided a state-of the-art permanent infrastructure where students, teachers and the general public are able to immerse themselves in a hands-on, interactive science experience in an informal learning facility. The aim was to bring science closer to the target audience and aid in increasing the number of students taking up science subjects at secondary level. In the long term this will contribute to the increase in Science and Technology professionals, thus giving Malta the much needed human capital to sustain a competitive knowledge-based economy.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To undertake a number of smart investments in the knowledge infrastructure and research capacity in higher education;,PA1 Enhancing Knowledge and Innovation,OPIPA1 Investment in RTDI and RTDi-related Infrastructure and ICT,"1. To Restore, Construct and Finish the buildings within Bighi Complex to set up the National Interactive Science Centre (NISC) as an informal learning infrastructure2. To attract More Students towards Science by improving their attitudes and perceptions about learning and doing science and therefore Increasing the Uptake of Science related Subjects at Secondary Level3. To enhance the Teaching of Science through Interactive Experiences and Inquiry-Based Learning and therefore contribute towards Innovation in the Maltese Education System4. NISC to become a Science Communication Hub for the Community 5. To bridge the gap between the World of Science and the General Public6. To serve as a Research Infrastructure by offering a Research Base set-up in form of a Live Lab, where research in the fields of Social Science and Humanities could be carried out.7. To increase Human Capital in SET","Setting up of a permanent infrastructure for informal learning based on the science curricula, with science interactive hands-on exhibits and workshop/shows space. 1 Fully equipped Infrastructure for teachers to use as a resource in itself. Teachers will be able to teach various parts of the curricula at the NISC, especially those hard to convey topics that require specialised interactive materials and equipment.Attract more students to science through interactive experiences.• 256 professional Science Shows will be held annually in the Activity Centre.• 256 Hands-on Science Workshops will be held annually in the Activity Centre.• 618 Planetarium Shows will be screened.• 4 Outreach Activities annually will be organised in Gozo to entice Gozitan students and the General Public to visit the NISC. Bridge the gap between the General Public and Science & Technology. • 1 Science related event per quarter will be organised at the NISC open to the General Public.• 1 Exhibition per year in the temporary exhibition space set-up by academia and/or industry to showcase their work and bring visitors closer to the application of science.• An overall 10% increase in positive perception towards science of NISC visitors at the end of the 3rd year after opening.",
ERDF 314,Development in Screening and Radiological Modalities in Health				,Ministry for Energy and Health						,4296953,Ministry for Energy and Health,2013,2015,"This Project is an investment in modern and technologically advanced equipment leading to a better quality of life for citizens through improved screening facilities in the public healthcare system. Improved screening facilities allows early diagnosis, permitting prompt intervention, where and as necessary, with more effective results and a better lifestyle for citizens.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA6 Urban Regeneration and Improving the Quality of Life,"OPIPA6 Education, Social and Health-related Infrastructure","What the Project Is Intended to AchieveThe overall objective of this Project is to provide citizens with a better quality of life by improving health services through the enhancement of early intervention, preventive and screening measures. Added ValueWith this health related infrastructural investment service users will benefit in the long term because timely diagnoses of ailments will prevent their future need for hospitalization and acute interventions. Society at large will also benefit from this investment. This is because, through further prevention and early intervention, health will be added to life by increasing years lived free from ill health, reducing or minimizing the adverse effects of illness and disability, healthy lifestyles will be promoted and the quality of life will be improved overall.Current service provisions at Mater Dei Hospital and at Primary Health Care, in relation to medical imaging services, ultrasonography (for both general, gynaecological and obstetrics), vascular applications, prevention of retinopathy in diabetics, large and small bowel diagnoses will make giant leaps through this application, whilst other new services like assessing patients for retinopathy and vascular issues at Health Centres will be introduced, potentially reducing the need for extended hospitalisation and waiting lists at Mater Dei Hospital. Through this Project, Government is expected to incur lower costs in acute interventions whilst meeting the needs of the service users and society at large.This Project is based on the accessibility of care, implementing the fairness and solidarity principles, taking into account the needs and difficulties of the most disadvantaged groups and individuals, as well as those requiring costly, long-term care.The delivery of a better quality of life is another important focus of this Project. Added pressures and different demands on Malta’s health care systems, from ongoing demographic and socio-cultural changes, need to be met and therefore Government is committed to promote and advance the quality and excellence of Malta’s health care services including through the introduction and, or improvement of existing technological modalities. Furthermore, with the enhancement of early screening and prevention programmes, life expectancy and the quality thereof is expected to be ameliorated.Sustainability is another focus of this Project. Despite soaring costs and demand, Government remains committed to preserving the solidarity-based model of universal access to care. Waiting times, a long-standing problem in health care, have an adverse impact on the health and quality of life of patients as well as on their overall satisfaction with the health system. Government remains determined to enhance existing systems/programmes and introduce new services to address this challenge. This Project is another milestone towards meeting sustainability requirements.","Various results pertaining to the number of patients screened, for example, 100% increase in patients screened with the installation of the Doppler Ultrasound Machines in a 12-month period after commencing operation. Also, 50% increase in patients screened with the installation of the Direct Digital Mammography Unit in a 12-month period after commencing operation.",
ERDF 317,Upgrading of Services at Gozo General Hospital				,Ministry for Energy and Health	,2783271,Ministry for Energy and Health,2013,2015,"This project involved the upgrading of services at Gozo General Hospital through the introduction of new equipment that provides:• Bringing the service level at par with today’s technology and that of Mater Dei Hospital • Introducing new services• Ensuring adequate backup for emergencies given the unique double insularity of Gozo and• Avoiding the decrease in the current levels of service provision.""",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,,PA6 Urban Regeneration and Improving the Quality of Life,"The project’s main objective is the upgrading of services at GGH through the procurement of new equipment that will allow for:1. Bringing the service level at par with today’s technology and that of Mater Dei Hospital – state of the art, modern and energy efficient equipment that is found in most hospitals today throughout the EU including in Malta.2. Introducing new services to make the service provision in Gozo as comprehensive as possible maximising the output of the available expertise thus mitigating the need for referral of Gozo residents to Malta. The new services include vascular surgery, laparoscopic (minimally invasive) surgery, laparoscopic gynaecological surgery, ultrasound and X-ray guided interventions, colorectal cancer screening.3. Ensuring adequate backup for emergencies or having full set of equipment to handle more serious emergencies e.g. having an adequate number of anaesthetic machines both as immediate back-up in case of failure of one of the current machines during operations and also to cope with emergency requirement in case of multiple trauma admissions, or availability of a capnometer for measurement of blood gases especially carbon dioxide in emergencies involving resuscitation of children in cases of drowning, respiratory failure, bronchiolitis, severe asthma and chest infections.4. Avoiding the decrease in the current levels of service provision due to deterioration of equipment since recurrent repairs take items of equipment out of service for substantial periods of time, incurring significant costs and repeatedly effecting the availability of that service until it is totally withdrawn. 5. Benefiting from efficiency gains especially in patient throughput and nursing time. This project will enable patients to be operated over a shorter period of time, more patients to be operated on a single operating list and for patients to have a shorter length of stay. This in turn would release more beds to do more operations/procedures. The equipment meant for facilitating patient recovery, monitoring, transfer and handling would positively affect efficiency and ease of nursing care, increasing FTE’s to allow nursing and patient support staff cope more effectively with increasing patient turnover with the current staff complement. Rapid seamless recovery and rehabilitation of patients also shortens time away from work.6. All these factors will together contribute to a broader spectrum of healthcare services that are safer, reliable and more efficient and available in Gozo. This would be less stressful to the patients and increase the possibility of support from their relatives most significantly after more serious, complex operations and emergencies and facilitate more rapid rehabilitation and social re-integration.","This project had to achieve the following results by 2015:• The number of surgeries in the theatre will increase by 10% unless the proportion of major and complex major surgeries increase to the extent that available theatre time is taken up by them.• The number of endoscopy procedures will increase by around 10%.• Around 120 patients will undergo Laparoscopic Surgery.• More lives saved through earlier detection of colorectal cancer. It is estimated that around 2 lives can be saved and 10 cases of cancer can be avoided by early detection.• It is expected that patients travelling to Malta for surgery and endoscopies will not exceed 2011 figures (1397 patients).• It is expected that the number of patients transferred to Malta by Ambulance or Helicopter for general surgical emergencies will be reduced. This depends on the type of emergency and is difficult to estimate but an average of 5% decrease from 2011 is expected.• New register for Colorectal Cancer Screening and US guided interventions introduced. • Vascular surgeries can be done at GGH and statistics can be captured from the Operation Register already available. It is estimated that at least 45 patients will undergo vascular surgeries.• Over 50 patients who used to undergo X-ray and US Guided interventions in Malta will be able to undergo such interventions in Gozo, so long as the post for consultant radiologist is filled.",
ERDF 319,Setting Up of a Medical Assessment Unit at Mater Dei 				,Ministry for Energy and Health 						,9796888,Ministry for Energy and Health,2013,2015,"This Project is a health related investment which sees the setting up of a new Medical Assessment Unit at Mater Dei Hospital, consisting of two new wards with a total of 68 beds. This Project sees the implementation of a new, efficient and effective service of observation and management of acute admission to Mater Dei and is one of the coordinated initiatives taken by the Ministry for Health, the Elderly and Community to alleviate the challenge of waiting times encountered by patients at the hospital.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA6 Urban Regeneration and Improving the Quality of Life,"OPIPA6 Education, Social and Health-related Infrastructure","The overall objective of this Project is to provide citizens with a better quality of life by improving health services at Mater Dei Hospital through the construction of a new and innovative Medical Assessment Unit. This Project will alleviate the challenge of overcrowding and waiting times experienced at Mater Dei Hospital in the past years hence offering patients a better service.Added ValueThis health related infrastructural investment will be of benefit to target groups (that is sufferers of chronic non-communicable diseases and acutely unwell persons) and to society at large, in the long term because in this innovative Project:(i) patients will start to be discharged as early as safely possible hence they will be offered a better and earlier service;(ii) patients will be discharged without having extra morbidity resulting in their being offered a better quality of life by letting them spend more time in the community and having more opportunity to be productive;(iii) they will benefit from a more efficient and effective service of observation and management of acute admissions to Mater Dei Hospital;(iv) The challenge of having patients waiting too long until a bed is made available for them in the wards will be addressed. Such waiting times go against Government’s health system principle of access to all, thereby potentially creating income based health inequalities;(v) There will be a reduction in the burden on the National Health system and National Health budget by having people staying less time at the hospital and living in a healthier state.Current service provision will also improve, whilst this new service will be introduced, potentially reducing the need for extended hospitalisation and waiting times. Through this Project Government is expected to meet better the needs of the service users and society at large.The initiative of increasing the ambulances fleet was to ensure that the Maltese population is given adequate access to the health services provided at Mater Dei Hospital. This investment will increase the quality of care given to all Maltese patients because: (a) they will be receiving quicker access;(b) they will be receiving prompt medical intervention at the site where the emergency occurs;(c) those that could not be transported from their homes to Mater Dei Hospital due to lack of resources that meet the demand will now have access to the service, whilst at the same time the service to be rendered to more urgent calls will not be compromised.","• An addition of 68 beds• 4,136 patient throughput per annum in the new Acute Medical Assessment Unit• An additional fleet of 11 ambulances",
ERDF 32,Archaeological Heritage Conservation Project,Heritage Malta,9260758,"Minsitry for Justice, Culture and Local Government",2008,2015,"The Archaeological Heritage Conservation Project has embellished and conserved two sites inscribed on the UNESCO World Heritage List as part of the 'Maltese Megalithic Temples', Ggantija and Tarxien Temples, as well as St Paul's Catacombs which are an outstanding example of Malta's Catacombs and are on the Tentative List for future inscription as a World Heritage Site.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To promote the Maltese Islands as a prime and diverse tourist destination;,PA2 Promoting Sustainable Tourism,OPIPA2 Product Development,"This Project will support Malta’s efforts in becoming a more competitive cultural tourism destination as expressed in Malta’s National Reform Programme of 2005. This will be carried out by providing effective accessibility to Malta’s sites of World Heritage value, whilst ensuring that these sites are preserved for the enjoyment of future generations, in accordance with the Cultural Heritage Act (2002) and in part-fulfilment of Malta’s National Tourism Plan (2006). In addition, this Project will contribute to the promotion and preservation of sites of World Heritage value in accordance with the UNESCO World Heritage Convention (1972).In fulfilling these aims, this Project will reap benefits, not only to the tourism industry, but also for society at large, by offering a renewed, sensitive and educational approach to Malta’s heritage for the general public.","1. Construction of a Visitor Centre at Ggantija Temples covering a footprint of approx. 600sqm, incorporating a permanent display of Gozo’s prehistoric collection, activity area, museum shop and other basic amenities;2. Realisation of a Heritage Park encompassing the agricultural land (Government property) around the Ggantija Temples, involving a stretch of approx. 200m of rubble wall restoration and rebuilding;3. Documentation of the Tarxien Temples in the form of one 3-dimensional digital model of the whole site;4. Construction of a shelter over the Tarxien Temples, covering an area of 250m2;5. Construction of a walkway at the Tarxien Temples, covering an area of 190m26. Documentation/Studies of the St Paul’s Catacombs shall encompass a large area of the catacombs. Surveys will be covering approximately an area of 12,000m2 on more than one level and will include elevation drawings. Conservation Studies conducted shall be focussed in core areas and will cover an area of approximately 2,000m2.7. Installation of a visitor centre at St Paul’s Catacombs with the provision of ancillary services, covering an area of approximately 600m28. Creation of walkways and footpaths at St Paul’s Catacombs covering an area of approximately 250m29. Installation of specialised lighting at St Paul’s Catacombs, covering an area of approximately 1,600m2 10. Installation of security measures at St Paul’s Catacombs, covering an area of 2,000m211. Rehabilitation of the garden and installation of a child recreational area at St Paul’s Catacombs, covering an area of 3,000 m2","""The Project will ensure the sustainable enjoyment of three primary archaeological heritage sites. It will provide the necessary facilities for visitors and will contribute to the long-term preservation of these sites, in accordance with the Cultural Heritage Act whereby Heritage Malta is to “…ensure that those elements of the cultural heritage entrusted to it are protected and made accessible to the public”. (CAP.445, Cultural Heritage Act part III, 8.1, p8)The Project will help “…reduce the impact of high density population on our cultural heritage sites during the peak season” (Malta’s National Tourism Plan, 2006) and will also balance the needs of visitor accessibility with those of the conservation of these sites so that “…the needs of the tourism industry do not conflict with the needs of conservation and preservation” (Malta’s National Tourism Plan, 2006)."""
ERDF 327,Development at Safi Aviation Park,Malta Industrial Parks Ltd.,2758447,"Ministry for the Economy, Investment and Small Business",2013,2015,"Malta Industrial Parks Ltd. (MIP) developed the basic infrastructure, namely taxiway, aprons and service infrastructure, as well as three hangars, creating a new space for the establishment of maintenance repairs and overhaul  (MRO) facilities for small jets. This ensured that Malta will have the basic infrastructure to be in a position to further capitalise on the potential of the aviation sector.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,"To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;",PA1 Enhancing Knowledge and Innovation,OPIPA1 Enterprise Infrastructure,The overriding objectives of this project are to:• Contribute towards the growth and diversification of the Maltese economy and the promotion of high value-added jobs;• To attract further local and FDI investments in MRO services and ancillary services.The main project outputs will be to:• Create additional basic infrastructure much needed by MRO entities to be able to house their operations in Malta;• To grow the MRO sector in Malta.,"• Three new tenants operating from Safi aviation Park• An increase in full time employees• An increase in space utilisation• Approximately 29,500 Square metres of Safi Aviation Park rehabilitated for usage.",
ERDF 331,The Development of a Digital Hub,Malta Enterprise,4998704,"Ministry for the Economy, Investment and Small Business",2013,2015,"The development of a hub in order to be conducive towards the establishment of synergic and joint actions for enterprises in the creative sectors, as well as creating the environment and structure for the training and mentoring of new enterprises. Also, a study aimed to determine the technical, financial and economic feasibility of creating a similar hub in Gozo.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,"To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;",PA1 Enhancing Knowledge and Innovation,OPIPA1 Enterprise Infrastructure,"• 6 new enterprises or extensions will be operating from the DH by 2015; reaching the maximum of twelve (12) new enterprises or extensions operating from the DH by 2017 (local and foreign);• Generate sixty (60) FTEs by 2015, and one hundred and twenty (120) FTEs by 2017;• Minimum of three (3) enterprises involved in networking and new collaboration with other businesses and/or academia by 2015, and increasing to six (6) by 2017; • Two (2) start-up businesses supported;• Two (2) SMEs launching new or improved products or processes; and• One (1) Technical Feasibility Study Report determining the economic potential as well as the technical, financial and economic feasibility of the laying and operation of a data cable between Malta and Gozo with a view to assess the possibility of replicating the proposed Malta hub in Gozo.","The DH is expected to create a linkage between education and industry, which shall contribute towards creating activities which will allow spin-offs of start-ups and the creation of a cluster and networking between SMEs, other businesses, universities, and students. The project also caters for creating on the job training through the hot desks that will be made available on site. Furthermore, the project also targets to assess the possibility of replicating the proposed Malta hub in Gozo.The premises will include a number of hot desks that will be available for students. The development of the DH will entail that over 100 m2 will be dedicated to interaction amongst the students and established companies. This will facilitate mentoring between the companies operating from the DH and the students who are undertaking an academic qualification related to the Digital Games. Recently the University of Malta started to offer a course specifically related to the area of Digital Games. Furthermore, given that the DH is within walking the Distance from the University of Malta and other private academic institutions will facilitate further the above mentioned interactions.",
ERDF 332,Quality Education for the Society of Tomorrow (QUEST)				,Ministry for Education and Employment 						,31959183,Ministry for Education and Employment,2013,2015,The project involves (a) the development of 2 new school with state of the art facilities namely the Boys Secondary School in Mosta and the Girls' Secondary School in Qormi; (b) spearheading of vocational and education training in the agribusiness sector in the Mosta School; (c) the Convesion in the Qormi School of Scheduled Nissen Huts into sports facilities; and (d) the construction of an extension to Sir MA Refalo Centre for Further Studies (Sixth Form).,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA6 Urban Regeneration and Improving the Quality of Life,"OPIPA6 Education, Social and Health-related Infrastructure","The projects follow the strategy of targeting the 10 Colleges in Malta and Gozo with a mission to build and refurbish schools as educational institutions for tomorrow in a cost-effective way while satisfying high standards of construction and finishes within an established time-frame. These two schools are leading examples in responding to the following exigencies;• The schools will have an area of curriculum specialism and excellence at its heart and throughout its activity;• Encompass first-class working environment will be a reality for all teachers and support staff; and education to fulfil the needs and aspirations of individual pupils;• Develop a full range of academic, vocational and work-based education to be available to meet the needs and aspirations of those aged 14 to 19. To achieve this secondary schools will need to work in partnership with each other and with further education, sixth form colleges and centres, as well as local businesses and learning partnerships;• Develop different buildings and state of the art facilities; • Schools with fully serviced and equipped which will offer a safe, secure, inclusive and comfortable environment to pupils, teachers and other users. They will be suitable for the teaching of the core curriculum, including science and technology;• Schools which have additional specialist areas such as agribusiness or sports facilities, with improved social areas such as dining areas, libraries and entrances, and better accessibility and facilities for non-pupil users of the school.• Develop schools with a range of facilities to the wider community in an environmentally friendly way. All teaching areas will reflect the latest thinking on national curriculum delivery, including sciences and sports. • In their design quality the schools will reflect education’s importance to the local community and the society of tomorrow.• The schools will respond to actual demographic trends. Malta’s population is still ‘young’ by European standards. The 0-14 age group represents 18.9% of the Maltese population, whereas the 65+ age group stands at 12.8%. The updating, refurbishing and upgrading of existing schools, primary and secondary, is a priority in the development of quality education in Malta and Gozo while the various reforms in education are being implemented• For a number of decades, particularly in the seventies, the eighties and the early nineties very limited investment was made in the building and extensions of new educational institutions and in the upgrading, repair and maintenance of existing buildings. • The building of new schools, particularly secondary schools, satisfying modern educational requirements and expectations, the consequent reduction in the number of students in certain secondary schools, and the building of extensions where possible, will improve the quality of education provided by the State, will facilitate the full implementation of the National Minimum Curriculum.• The development of these two schools as with others responds to the formation of new communities and urban sprawl necessitating in new schools for emerging communities as in the case of Mosta and Qormi.As to the project in Gozo, the construction of the science, technology and art block adjacent to the Sir M.A. Refalo Centre for Further Studies shall: • Create the much needed science, technology and art facilities at the only upper secondary school in Gozo; and• Encourage the take-up of sciences, technology and arts.This project is important because the existing facilities at Sir M.A. Refalo Centre for Further Studies limit the number of students that can follow science, technology and art related subjects given the size of the labs in particular.","The direct benefits to be achieved include:• One (1) new Agribusiness Programme to be introduced being an MCAST qualification at MQC Level 3 and also certified by MATSEC board• A maximum of 16 students per year to be trained through this Agribusiness Programme. This course will open pathways for students to continue post secondary studies at MCAST (Agribusiness Institute) or to read the MATSEC Course leading to agriculture linked course at the University of Malta (Institute of Earth Systems)• Contribution towards the newly proposed curriculum to encourage Vocational Education• Increase in the students obtaining a school leaving certificate through the introduction of MQF Level 1 and MQF Level 2 qualification to be introduced resulting in more school children achieving better certification. • School Building are totally accessible to persons with mobility problems around the school, including both the built up and recreational areas. • This project will also contribute towards the Community since the school e.g. school halls etc can be used by the Community after hours e.g. agriculture/horticulture courses organised by Government through life-long learning initiatives • The introduction of security measures will result in a decrease in school vandalism.",
ERDF 335,Solar Research Lab				,University of Malta						,3251449,Ministry for Education and Employment,2014,2015,The project has developed a state of the art solar research lab enables Malta to take better advantage of this energy resource and put the University of Malta and the country at the forefront of solar energy research. The siting of the project is in the existing Institute for Sustainable Energy (ISE) Site in Marsaxlokk.,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,"To promote the use of RES and energy efficiency measures at all levels of governance, including the public, the non-governmental, the domestic and enterprise levels.",PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,"The project involves the development of a state of the art Solar Research Lab at the Institute for Sustainable Energy (ISE) campus in Marsaxlokk. The lab will have research capabilities which are not present in most companies, Universities or Research Institutes around Europe.","The proposed project will result in: i. Training of 10 users on various pieces of equipment. This will include :-• 4 members of staff who will be trained on the equipment;• 6 additional users which will include both staff and students from at least two other departments within University of Malta to maximize the use of the equipment. This additional training to such staff members will enable users to operate the equipment and Perform research without the assistance of Lab staff. ii. Being a new area of research with little to no current activity. This Lab will offer the opportunity for several students & staff to perform cutting edge research. Within the first 5 years we expect a minimum of :-• 5 MSc students;• 1 PhD students; • 5 Visiting Exchange/Erasmus (or other program) students;• 5 Collaborators making use of the facilities from other Departments/Institutions. The Lab will have research capabilities not present in most companies, Universities or Research Institutes throughout Europe. It is a very specialized, though highly important, area of research. It should therefore attract an interest from companies and Academic institutions working or doing research in this area.",
ERDF 336,High-Efficiency High-Density Photovoltaic Systems 				,University of Malta						,299317,Ministry for Education and Employment,2014,2015,"The project has created a rooftop installation on a number of buildings at the University and Junior College of high-efficiency PV panels employing a dense footprint thereby maximising the energy generated per unit area of available roof space. The proposed high-efficiency, high-density PV systems can generate at least 80% more energy per unit area than the standard PV installation methods on rooftops most typical in the Maltese Islands.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,"To promote the use of RES and energy efficiency measures at all levels of governance, including the public, the non-governmental, the domestic and enterprise levels.",PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,"The project aims at installing high-efficiency PV panels following a high-density layout that make the most effective use of scarce roof resource for photovoltaic energy generation. Another objective of the project is to change the energy performance of at least one building on campus, namely the Maths & Physics building towards a near-zero-energy (NZEB) building.","The high-efficiency high-density PV systems are estimated to result in a number of benefits, amongst which:• A 75% increase of energy output in generated kWh/m2;• With the same output amount, the high-efficiency, high-density PV panels systems result in a 70% more efficient use of roof space;• University staff and students will made aware of ERDF funding for this project through the publicity measures implemented by this project. A monitor tracking real time generation from each PV system will be installed in each building.",
